gene_name	entrezID	qvalue
ZEB2	9839	0.0405918816236753
MARCH11	441061	0.0405918816236753
CACNA1C	775	0.0270612544157835
FURIN	5045	0.0202959408118376
FES	2242	0.0202959408118376
GDF15	9518	0.0458908218356329
LRRC25	126364	0.0458908218356329
SSBP4	170463	0.0458908218356329
ISYNA1	51477	0.0458908218356329
ELL	8178	0.0458908218356329
NCAN	1463	0.0202959408118376
HAPLN4	404037	0.0202959408118376
TM6SF2	53345	0.0202959408118376
SUGP1	57794	0.0202959408118376
MAU2	23383	0.0202959408118376
GATAD2A	54815	0.0202959408118376
TSSK6	83983	0.0202959408118376
NDUFA13	51079	0.0202959408118376
YJEFN3	374887	0.0202959408118376
CILP2	148113	0.0202959408118376
PBX4	80714	0.0202959408118376
