mesh_code	max_phase
D013629	4
D024508	3
D014810	3
D024505	3
C000628691	0
D000077235	4
D003520	4
D016190	4
D005472	4
D015251	4
D017239	4
D000077143	4
D000068878	4
D003474	2
C000705452	3
D047072	4
C553458	3
D000906	4
D000068196	4
C582435	3
C016392	2
D014031	0
D000069287	4
C500026	4
D000077289	4
D000077208	0
D015742	4
C485206	4
D000970	4
D001241	3
C000609138	3
D064747	3
D064748	3
D054328	2
D000777	4
D007136	4
D004317	4
D000077267	4
D000068756	4
C549068	4
C000594389	3
D000074324	2
C506643	4
C081294	2
D002981	0
C000489	0
C007084	0
D002437	0
D003687	4
C000613593	2
C531550	4
D000077157	3
D008550	3
D004121	2
D000080044	4
C000710748	2
D004155	3
D011398	3
D003907	4
C018038	4
D015738	3
D011899	3
D002927	3
C101468	4
C586365	3
C487081	1
D000077150	2
D000077384	4
C000627803	1
D000077594	3
D008453	4
C080625	3
D000963	3
C520704	2
D018796	4
D000068338	4
C545685	3
D000069059	4
C030272	4
D000093542	3
D003847	2
D000069283	2
D000074322	4
C543332	1
C556306	2
C087123	2
C000712788	4
D000911	4
D019788	2
C531549	2
C056516	4
D002506	2
C082598	3
C024352	2
C531958	2
C447119	2
D004967	4
D004966	3
C000591595	2
D009271	2
D016642	4
D014212	3
D014807	3
C517782	2
D004958	3
C512542	2
D000961	2
D012643	0
C007630	3
C074283	3
C008958	3
C016601	3
D000077271	2
D002136	3
D019821	3
D002118	3
D000068258	4
D004008	1
C064142	1
D008874	3
D006728	3
D000077402	2
D004077	2
D005047	3
D000077341	3
D008063	0
C522911	3
D043169	3
D011374	3
D014364	3
D008687	4
D013739	3
D000077335	4
D008727	3
D000068579	3
D008012	4
D006886	2
D002945	3
D000069448	4
D014612	2
D017035	3
D004221	2
C118739	3
D008610	0
D019819	2
D000067856	2
C585684	2
D000069286	2
C000629782	2
C081222	3
D000077544	2
D000077146	3
D008130	2
D020123	3
D011070	2
D002266	2
C019531	2
D014750	2
D014747	2
D014748	2
D000077489	2
D008463	2
C006589	2
C105999	2
D000077610	2
D008937	3
D016685	3
C053541	3
D008914	1
C568950	2
D000324	0
D009074	0
D001615	0
D008139	2
D000930	2
C521013	3
D011389	3
D017273	4
C549060	3
D006633	1
D006634	1
D000431	3
D002166	4
D000700	0
D000077212	4
D013852	3
D008911	2
D000077337	2
D017257	3
D017298	3
D007213	1
D009853	2
C064541	2
C027385	3
C054441	2
D017312	4
D000069439	2
D014805	2
D006879	2
D000077261	3
D000068437	2
D014451	1
C024989	1
D017985	3
D000078222	3
D007455	2
C038634	2
D007649	4
D013759	1
D007074	3
D000779	4
D017294	4
D000077924	3
D002045	4
D008751	4
C106246	2
D002762	3
D000077206	3
D002955	2
D000077554	4
D004872	3
D014815	3
D018033	2
C082430	3
D001905	4
D019274	4
C542869	4
C531198	2
C002854	2
C047490	2
C519562	2
C000625785	2
C090712	3
C551271	2
D008790	3
C081643	2
C551398	2
D056572	3
D009536	2
C530494	2
D034261	3
D042724	2
C115354	2
C084881	2
D005641	3
D058766	2
D007069	2
D010624	1
D016729	3
D000077266	3
C109079	3
D000078224	4
D006820	2
D000077211	4
C004180	4
C000628612	1
D000922	2
D000077204	2
D008535	3
D019290	3
C560077	2
D019386	3
D000077209	2
C050823	1
C038131	2
D019343	4
D000077559	4
D000891	0
D000081082	2
D048271	3
D001205	2
D001374	2
D013467	2
D017256	1
D007372	3
D007371	3
D000068818	2
D014635	2
D016228	3
D000082	2
D000077613	0
D009020	0
D020927	3
D000241	1
D015735	3
D000077152	3
D000077608	4
C579707	3
C012655	2
D005283	3
D000077149	4
D001279	0
C548400	2
D009340	0
D000077362	2
C000627974	2
C000629870	0
D000082082	2
D003300	4
D007376	2
C581106	2
D000077210	3
C000596361	2
D000077716	3
C561627	2
D000077547	2
C000627739	2
C549567	2
C579720	2
D003630	3
C500926	2
D000077546	1
C000713257	2
D011241	2
D008775	4
D002110	2
D003894	2
D003561	3
D017829	1
D000069347	2
C530716	2
