from	to
381	9744
381	1315
381	377
381	11014
381	9727
381	11316
381	26286
381	372
381	8853
381	9265
381	378
381	81876
381	55738
381	23527
381	22820
381	9364
381	9276
381	92344
381	1314
381	8729
381	5861
381	27236
381	26958
381	50807
381	84364
381	375
381	8615
381	22818
381	9554
381	51226
381	84440
381	23647
4074	9341
4074	3002
4074	10226
4074	1509
4074	10053
4074	6272
4074	63971
4074	6845
4074	8775
4074	8673
4074	950
4074	5972
4074	51542
4074	738
4074	7542
4074	9648
4074	1521
4074	23062
4074	26088
4074	1508
4074	3482
4074	162
4074	7037
4074	8675
4074	143187
4074	164
4074	5660
4074	10618
4074	8907
4074	3481
4074	55275
4074	6293
4074	23163
4074	375
4074	8677
4074	1213
2288	5536
2288	5594
2288	10598
2288	27161
2288	10671
2288	11140
2288	2908
2288	6301
2288	1179
2288	55860
2288	3337
2288	1783
2288	11258
2288	5595
2288	5264
2288	829
2288	51143
2288	6271
2288	84516
2288	3308
2288	5481
2288	1780
2288	5241
2288	93661
2288	3320
2288	4137
2288	1778
2288	4306
2288	10963
2288	2475
2288	1639
2288	830
2288	10121
2288	11146
2288	3326
2288	3437
2288	367
2288	3304
2288	3303
2288	3305
2288	10910
2288	7222
2288	3662
2288	8655
2288	3306
2288	1781
2288	11137
2288	832
2288	5055
2288	2099
2288	10540
2288	51164
2288	7220
2288	1020
2288	475
2288	3297
2288	3312
2288	2289
2288	23636
2288	140735
2288	10728
56603	1577
56603	1592
56603	5917
56603	8854
56603	1559
56603	346673
56603	340665
56603	1562
56603	216
56603	1381
56603	1548
56603	29785
56603	1579
56603	1555
56603	220
56603	1576
56603	339345
56603	1544
56603	1558
56603	284541
56603	316
56603	1543
56603	1551
55471	374291
55471	4709
55471	4695
55471	4705
55471	4711
55471	51103
55471	55572
55471	4722
55471	4704
55471	51295
55471	4718
55471	4714
55471	4701
55471	28976
55471	4728
55471	25915
55471	493753
55471	55863
55471	4535
55471	51603
55471	54516
55471	4720
55471	29078
55471	4702
55471	79133
55471	137682
55471	4698
55471	4696
55471	51300
55471	51079
55471	4706
2519	3074
2519	3073
2519	2720
2519	8790
2519	2517
2519	4668
9957	9394
9957	26035
9957	2817
9957	221914
9957	6383
9957	9672
9957	10090
9957	462
9957	9653
9957	2239
9957	6385
9957	3339
9957	10082
9957	2262
9957	375790
9957	6382
9957	2719
9957	90161
6405	9423
6405	10154
6405	8829
6405	23129
6405	5364
6405	8828
6405	55558
6405	285220
6405	5361
6405	23654
6405	5365
6405	7422
1080	5685
1080	5704
1080	27248
1080	5711
1080	5714
1080	5684
1080	10598
1080	5721
1080	128866
1080	5716
1080	479
1080	5713
1080	10273
1080	6804
1080	5683
1080	5564
1080	8724
1080	1179
1080	23433
1080	29927
1080	821
1080	3315
1080	2792
1080	7251
1080	5565
1080	3337
1080	5695
1080	79139
1080	5700
1080	5687
1080	1182
1080	5717
1080	8766
1080	5689
1080	6558
1080	9368
1080	3783
1080	25978
1080	867
1080	5709
1080	6550
1080	5576
1080	1181
1080	5172
1080	5577
1080	79720
1080	5694
1080	5686
1080	5868
1080	11160
1080	7082
1080	5140
1080	1836
1080	51422
1080	5692
1080	267
1080	10197
1080	160622
1080	9497
1080	6690
1080	92421
1080	51271
1080	6340
1080	55048
1080	6356
1080	3308
1080	375611
1080	154
1080	7532
1080	2147
1080	5644
1080	5707
1080	5566
1080	5708
1080	5705
1080	143471
1080	112
1080	79643
1080	10956
1080	137492
1080	155382
1080	91445
1080	5571
1080	29082
1080	93343
1080	144453
1080	10013
1080	3320
1080	6400
1080	9491
1080	1180
1080	7225
1080	1499
1080	6338
1080	1811
1080	5562
1080	55107
1080	79849
1080	5718
1080	57101
1080	60
1080	5699
1080	7415
1080	5139
1080	6337
1080	10861
1080	89853
1080	5693
1080	183
1080	7430
1080	115019
1080	57120
1080	5710
1080	2316
1080	5567
1080	5688
1080	5563
1080	3326
1080	266675
1080	7529
1080	5690
1080	6714
1080	5698
1080	5696
1080	6048
1080	3304
1080	1192
1080	11330
1080	5568
1080	51160
1080	1906
1080	3301
1080	5720
1080	3875
1080	8878
1080	3758
1080	5573
1080	25942
1080	65010
1080	6387
1080	7534
1080	91782
1080	1742
1080	23198
1080	5575
1080	122706
1080	10213
1080	5701
1080	8671
1080	5174
1080	5719
1080	53632
1080	7439
1080	5706
1080	9351
1080	196527
1080	5682
1080	116369
1080	9861
1080	10427
1080	3312
1080	813
1080	5715
1080	9170
1080	136541
1080	54831
1080	3856
1080	9100
1080	2670
1080	27243
1080	22941
1080	51257
1080	5702
1080	2782
1080	6351
1080	5691
1595	10857
1595	4801
1595	1959
1595	51478
1595	6307
1595	6309
1595	6713
1595	10280
1595	7108
1595	3156
1595	4597
1595	10465
1595	3157
1595	6667
1595	3930
1595	1528
1595	3638
1595	4800
1595	1717
1595	6720
1595	2224
1595	1727
1595	6721
1595	39
1595	10654
1595	3158
1595	50814
1595	1718
1595	9023
1595	3422
1595	4047
1595	4802
1595	5447
1595	4598
1595	2222
57646	8078
57646	9099
57646	9097
57646	8975
57646	7375
57646	6233
57646	9958
57646	55294
57646	7314
57646	63967
57646	10868
57646	25898
57646	27005
57646	7347
57646	7158
57646	9101
57646	7311
57646	6613
57646	57602
57646	7316
57646	55611
57646	4609
6542	6512
5166	1738
5166	8050
5166	10891
5166	1374
5166	1737
5166	5161
5166	5162
5166	7352
5166	5160
5166	1375
5166	5465
10083	51168
10083	30851
10083	83878
10083	10518
10083	776
10083	64699
10083	9497
10083	117531
10083	7399
10083	257629
10083	259236
10083	7401
10083	6900
10083	53841
10083	4641
10083	79574
10083	27328
10083	65217
10083	64072
10083	340990
10083	4163
10083	4647
10083	9732
10083	55591
10083	4648
10083	54825
10083	8825
10083	124590
10083	79955
5898	10928
5898	57186
5898	5603
5898	6300
5898	4627
5898	595
5898	8531
5898	1432
5898	55770
5898	23433
5898	5880
5898	8773
5898	60412
5898	3845
5898	54536
5898	8766
