ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000143537	ADAM15	1	155023042	155035252	1	protein_coding	8751	ADAM15	1.07719204651477e-11	NA	7	12.4	0.0151004	rs11264305;rs35902694;rs3766916;rs3806256;rs1564124;rs4045192;rs11264306;rs12047986;rs1001848;rs11264307;rs1462855;rs1870939;rs4845708;rs11264311;rs2306124;rs10908454	1
ENSG00000243364	EFNA4	1	155036207	155042029	1	protein_coding	1945	EFNA4	0.000252891317706202	-0.595252367	10	12.4	0.0151004	rs11264305;rs35902694;rs3766916;rs3806256;rs1564124;rs4045192;rs11264306;rs12047986;rs1001848;rs11264307;rs1462855;rs1870939;rs4845708;rs11264311;rs2306124;rs10908454	1
ENSG00000143590	EFNA3	1	155036224	155060014	1	protein_coding	1944	EFNA3	0.18056410470307	-0.355848667	21	26.3	0.000136538	rs11264305;rs35902694;rs3766916;rs3806256;rs1564124;rs4045192;rs11264306;rs12047986;rs1001848;rs11264307;rs1462855;rs1870939;rs4845708;rs11264311;rs2306124;rs10908454;rs7534162;rs10908455;rs7365544;rs56112907;rs10796938;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs12039316;rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs17723260;rs7365736;1:155066025;rs7366138;rs10796939;rs11264323;rs12145362;rs11264327;rs12137164;rs9297;rs12904;rs11264333;rs4644481;rs4246529;rs10157801;rs34815285;rs11264328;rs11264329;rs12040970;rs9330263;rs11264331;rs6665822;rs4390169;rs7535292;rs4971077;rs4971079;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089	1
ENSG00000251246	EFNA3	1	155036224	155059283	1	protein_coding	NA	NA	NA	-0.355848667	21	26.3	0.000136538	rs11264305;rs35902694;rs3766916;rs3806256;rs1564124;rs4045192;rs11264306;rs12047986;rs1001848;rs11264307;rs1462855;rs1870939;rs4845708;rs11264311;rs2306124;rs10908454;rs7534162;rs10908455;rs7365544;rs56112907;rs10796938;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs12039316;rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs17723260;rs7365736;1:155066025;rs7366138;rs10796939;rs11264323;rs12145362;rs11264327;rs12137164;rs9297;rs12904;rs11264333;rs4644481;rs4246529;rs10157801;rs34815285;rs11264328;rs11264329;rs12040970;rs9330263;rs11264331;rs6665822;rs4390169;rs7535292;rs4971077;rs4971079;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089	1
ENSG00000169242	EFNA1	1	155099936	155107333	1	protein_coding	1942	EFNA1	0.872063427950098	0.409868429	18	20.4	7.75236e-09	rs10908454;rs10908455;rs7365544;rs56112907;rs10796938;rs12039316;rs6427158;rs11264312;rs4625273;rs4361977;rs11264313;rs7366355;rs7367207;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs11264321;rs10908456;rs4303067;rs7364869;rs11264322;rs7366138;rs10796939;rs7365736;rs11264323;rs12145362;rs34815285;rs11264327;rs11264328;rs11264329;rs12040970;rs9330263;rs12137164;rs11264331;rs6665822;rs4390169;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs11799962;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs4971078;rs12129003;rs4971054;rs4644481;rs34257409;rs4276913;rs12028043;rs12124306;rs7535292;rs4971077;rs4971079;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs9330264;rs2990223;rs4971091;rs4971093;rs4590664	1
ENSG00000169241	SLC50A1	1	155107820	155111329	1	protein_coding	55974	SLC50A1	0.130229792296048	-0.609412945	9	20.4	3.02688e-08	rs7365544;rs56112907;rs10796938;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs7366138;rs10796939;rs7365736;rs11264323;rs12145362;rs34815285;rs11264327;rs11264328;rs11264329;rs12040970;rs9330263;rs12137164;rs11264331;rs6665822;rs4390169;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs11799962;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs7535292;rs4971077;rs4971078;rs12129003;rs4971054;rs4971079;rs34257409;rs4276913;rs12028043;rs12124306;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs10908454;rs10908455;rs12039316;rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs4644481;rs4971091;rs4971093;rs4590664	1
ENSG00000179085	DPM3	1	155112367	155113071	-1	protein_coding	54344	DPM3	0.233470170067034	0.032111124	11	20.4	3.02688e-08	rs7365544;rs56112907;rs10796938;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs7366138;rs10796939;rs7365736;rs11264323;rs12145362;rs34815285;rs11264327;rs11264328;rs11264329;rs12040970;rs9330263;rs12137164;rs11264331;rs6665822;rs4390169;rs7535292;rs4971077;rs4971079;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs11799962;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs4971078;rs12129003;rs4971054;rs34257409;rs4276913;rs12028043;rs12124306;rs10908454;rs10908455;rs12039316;rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs4644481;rs4971091;rs4971093;rs4590664;rs4971059;rs6427184	1
ENSG00000163463	KRTCAP2	1	155141884	155145951	-1	protein_coding	200185	KRTCAP2	0.0299704903065574	-0.290243823	22	12.24	2.46311e-12	rs12039316;rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs7366138;rs10796939;rs11264323;rs12145362;rs11264327;rs12137164;rs11264331;rs4390169;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs11799962;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs7535292;rs4971077;rs4971078;rs12129003;rs4971054;rs4971079;rs4644481;rs34257409;rs4276913;rs12028043;rs12124306;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs4971091;rs4971093;rs4971059;rs7365544;rs56112907;rs10796938;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs7365736;rs34815285;rs11264328;rs11264329;rs12040970;rs9330263;rs6665822;rs4072037;rs12411216;rs2974937;rs2066981;rs370545;rs914615;rs141942982;rs111508230;rs41264915;rs35154152;rs67579710;rs11580040;rs4590664;rs3814316;rs11264341;rs4971100;rs4971101;rs2070803;rs7366775;rs423144;rs2075571;rs58939130;rs1611774;rs4971099;rs1057941	1
ENSG00000273088	RP11-201K10.3	1	155141885	155159748	-1	protein_coding	NA	NA	NA	NA	31	14.84	2.46311e-12	rs12039316;rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs7366138;rs10796939;rs11264323;rs12145362;rs11264327;rs12137164;rs11264331;rs4390169;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs11799962;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs7535292;rs4971077;rs4971078;rs12129003;rs4971054;rs4971079;rs4644481;rs34257409;rs4276913;rs12028043;rs12124306;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs4971091;rs4971093;rs4971059;rs7365544;rs56112907;rs10796938;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs7365736;rs34815285;rs11264328;rs11264329;rs12040970;rs9330263;rs6665822;rs4072037;rs12411216;rs2974937;rs2066981;rs370545;rs914615;rs141942982;rs111508230;rs41264915;rs35154152;rs67579710;rs11580040;rs4590664;rs3814316;rs11264341;rs4971100;rs4971101;rs2070803;rs7366775;rs423144;rs2075571;rs58939130;rs1611774;rs4971099;rs1057941;rs2974935;rs2075570;rs2990223;rs28445596;rs2049805;rs2974930;rs2974929;rs2990245	1
ENSG00000163462	TRIM46	1	155145873	155157447	1	protein_coding	80128	TRIM46	0.998652125444883	-0.656689926	23	14.84	2.46311e-12	rs141942982;rs111508230;rs41264915;rs35154152;rs67579710;rs11580040;rs7365544;rs56112907;rs10796938;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs7365736;rs34815285;rs11264328;rs11264329;rs12040970;rs9330263;rs11264331;rs6665822;rs4390169;rs9297;rs12904;rs11264333;rs4246529;rs10157801;rs11799962;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs7535292;rs4971077;rs4971078;rs12129003;rs4971054;rs4971079;rs34257409;rs4276913;rs12028043;rs12124306;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs4072037;rs12411216;rs2974937;rs2066981;rs370545;rs914615;rs4590664;rs4971091;rs4971093;rs4971059;rs3814316;rs11264341;rs4971100;rs4971101;rs2070803;rs7366775;rs423144;rs2075571;rs58939130;rs1611774;rs4971099;rs1057941;rs2974935;rs2075570;rs2990223;rs28445596;rs2049805;rs2974930;rs2974929;rs2990245	1
