GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
100996442    1     132447     184392      1       1  140254      0.38262        0.351
729759       1     357659     378597      1       1  140254      0.52296       0.3005
81399        1     611096     632034      1       1  140254     -0.59746       0.7249
148398       1     849993     889961     96      16  140254      -1.4087      0.92054
26155        1     869583     904679     67       8  140254      -1.7964      0.96378
339451       1     885967     911099     60      10  140254      -1.2626      0.89664
84069        1     891872     920488     70      14  140254     -0.34896      0.63644
84808        1     900579     927473     70      13  140254      0.11447      0.45443
57801        1     924342     946608     48       6  140254      0.77767      0.21838
9636         1     938847     959920     39       4  140254       1.1176      0.13186
375790       1     945503    1001499     64       7  140254        1.255      0.10475
401934       1     997126    1019687     36       4  140254       1.0626      0.14399
54991        1    1007198    1061736    130       9  140254      0.46787      0.31994
254173       1    1099286    1143315    147      17  140254       0.1713        0.432
8784         1    1128888    1152163     67       9  140254     -0.91261      0.81928
7293         1    1136706    1159703     73       6  140254      -1.3827      0.91662
51150        1    1142288    1177447    123       6  140254      -1.3728       0.9151
126792       1    1157629    1180421     88       3  140254      -1.0385      0.85047
388581       1    1167826    1192102     48       4  140254      -0.6316      0.73617
118424       1    1179292    1219234     55       8  140254      0.20982       0.4169
6339         1    1205816    1237409     62      12  140254      0.20927      0.41712
116983       1    1217764    1253304     55      10  140254     -0.56896      0.71531
126789       1    1233962    1257057     21       3  140254     0.037768      0.48494
54973        1    1236965    1270067     43       5  140254        0.438      0.33069
80772        1    1250136    1274276     34       3  140254       1.0399      0.14919
83756        1    1256726    1279844     41       4  140254      0.98147      0.16318
1855         1    1260658    1294509     54       4  140254       1.0599      0.14459
54587        1    1278071    1307183     78       7  140254      0.65056      0.25767
54998        1    1299110    1320818     79       7  140254      0.48793       0.3128
81669        1    1311091    1344718     65       7  140254      0.83097        0.203
55052        1    1327276    1352693     45       5  140254      0.64995      0.25786
441869       1    1343800    1366824     60       5  140254       1.0807      0.13992
643965       1    1351508    1373167     45       5  140254       1.1823      0.11854
64856        1    1360903    1388262     37       8  140254     0.056936       0.4773
219293       1    1368152    1415538     62       9  140254      -2.2711      0.98843
83858        1    1397139    1454852     75       7  140254     -0.90956      0.81847
55210        1    1437523    1480067     68       7  140254     -0.86539      0.80659
339453       1    1460158    1485740     47       6  140254      -1.3591      0.91294
29101        1    1467053    1520262     82       7  140254      -1.7955      0.96371
643988       1    1523388    1545476     42       6  140254      0.71387      0.23765
142678       1    1540795    1575990     54       8  140254      0.57202      0.28365
8510         1    1557060    1580030     24       5  140254      0.20318       0.4195
984          1    1561100    1600473     54       6  140254     0.026426      0.48946
728661       1    1581486    1634243     84      10  140254     -0.24401      0.59639
728642       1    1623822    1665999    103       6  140254     -0.34097      0.63344
9906         1    1646277    1687438    110       8  140254      0.50008      0.30851
65220        1    1672671    1721508     64       5  140254       1.4645     0.071531
2782         1    1706725    1832552    108       9  140254       1.3602     0.086882
163688       1    1836266    1858733     66       7  140254       1.5247     0.063666
339456       1    1839029    1860740     67       7  140254       1.5151     0.064869
85452        1    1843390    1945276    336      22  140254       1.2264      0.11003
2563         1    1940768    1972192     57       6  140254     -0.32807      0.62857
5590         1    1971909    2126834    325      20  140254       1.2586      0.10408
100506504    1    2103250    2125812     24       4  140254        1.883      0.02985
199990       1    2105899    2154159     55       9  140254       1.8218     0.034246
6497         1    2150134    2251652    176      28  140254       3.0221    0.0012553
79906        1    2241719    2333190    258      28  140254      0.19657      0.42208
11079        1    2313214    2346883     66      14  140254     -0.41356       0.6604
5192         1    2326241    2354010     65      13  140254      0.48665      0.31325
9651         1    2397754    2446964     82      10  140254        1.508     0.065777
55229        1    2429975    2468061     61       5  140254       1.6304     0.051505
388585       1    2450184    2471684     25       3  140254        1.475     0.070111
8764         1    2477291    2505268     38       2  140254       1.6943     0.045102
127281       1    2507899    2532908     54       3  140254       1.4685     0.070988
79258        1    2512078    2574499    116       3  140254       1.2974     0.097254
100287898    1    2562807    2716230     85       7  140254       1.8062     0.035443
140625       1    2928046    2949467     27       2  140254      0.48299      0.31455
63976        1    2975565    3365185    787     104  140254       2.0115     0.022134
27237        1    3361147    3407677     78       7  140254        1.444     0.074366
1953         1    3394506    3538059    318      54  140254       2.8806    0.0019843
127262       1    3531556    3556695     45       6  140254      0.60835      0.27148
49856        1    3537331    3576671     45       7  140254        1.245      0.10657
7161         1    3559129    3662765    214      37  140254       2.3315    0.0098645
148870       1    3658965    3698209     79      12  140254       1.4231     0.077357
388588       1    3679352    3702546     59       6  140254    -0.024412      0.50974
57470        1    3686784    3723068     88       9  140254     -0.58053      0.71922
9731         1    3718645    3783797    228      12  140254      -1.1733      0.87967
1677         1    3763845    3811993    171      19  140254     -0.39872      0.65495
339448       1    3795697    3826857     79       8  140254     -0.65772      0.74464
55966        1    4705105    4853851    399      62  140254     -0.91289      0.81935
261734       1    5912870    6062618    237      13  140254      0.85322      0.19677
8514         1    6042358    6171253    192      31  140254     -0.72973      0.76722
26038        1    6151847    6250194    207      26  140254      0.32523       0.3725
6146         1    6235080    6269679     48       6  140254      0.57202      0.28365
388591       1    6256189    6291359     47       7  140254      0.91066      0.18124
23463        1    6271253    6306044     43       6  140254      0.77335      0.21966
390992       1    6294252    6315638     26       3  140254       1.5263     0.063462
387509       1    6297406    6331035     47       4  140254       1.5311     0.062871
11332        1    6314332    6463826    308      16  140254       1.1317      0.12889
54626        1    6465292    6494724     65       6  140254     -0.52988       0.7019
83715        1    6474836    6531004     70       8  140254     -0.73402      0.76853
8718         1    6510787    6537432      9       2  140254     -0.41542      0.66108
57449        1    6516152    6590121    107      13  140254     -0.87278      0.80861
79707        1    6571407    6624658    126       3  140254      -1.4001      0.91926
80835        1    6604987    6649817     71       5  140254      -1.4951      0.93256
3104         1    6630051    6659340     30       7  140254     -0.84429      0.80075
9903         1    6640784    6672958     28       5  140254     -0.76201      0.77697
148479       1    6663756    6694093     26       4  140254     -0.83718      0.79875
90326        1    6674925    6705646     33       4  140254     -0.43784      0.66925
55735        1    6684228    6771966    101       7  140254      0.24059      0.40494
23261        1    6835384    7839766   1665     136  140254        1.261      0.10366
9341         1    7821329    7851492     51      10  140254     -0.44136      0.67052
8863         1    7834413    7915241    155      16  140254      0.16795      0.43331
10911        1    7897672    7923551     62      12  140254      0.59674      0.27534
3604         1    7965931    8013225     59       7  140254      0.56397      0.28639
11315        1    8011714    8055342     40       5  140254      0.30802      0.37903
54206        1    8061779    8096393     23       3  140254      0.47985      0.31567
50651        1    8368171    8414227     91      11  140254      0.53029      0.29795
473          1    8402464    8887699    413      13  140254       0.7864      0.21582
2023         1    8911059    8949151     44       4  140254       1.6345     0.051079
765          1    8995893    9045151    108      25  140254      0.93392      0.17517
155184       1    9053359    9096404    115      22  140254     -0.57792      0.71834
6518         1    9087005    9141763    155      17  140254     -0.30292      0.61902
80045        1    9153472    9199229     77       9  140254        1.356     0.087544
9563         1    9284822    9341396    129      15  140254      0.67193      0.25081
80176        1    9325202    9439591    289      40  140254       1.3594     0.087006
84275        1    9589528    9652831     50       3  140254      0.72483      0.23428
199953       1    9638932    9684935     38       3  140254      0.54788      0.29189
5293         1    9701789    9799172    108      16  140254     -0.35273      0.63785
22883        1    9779079    9894550     93       5  140254    0.0023087      0.49908
56998        1    9898334    9980316     47       4  140254     -0.20037       0.5794
84328        1    9972168   10013460     57       6  140254       1.4463     0.074049
64802        1    9993486   10055556     63       6  140254        1.818     0.034532
116362       1   10047255   10086078     30       3  140254       2.1184      0.01707
10277        1   10083041   10251297     94      13  140254       2.6001    0.0046596
23095        1   10260606   10451664    268       7  140254       2.4386    0.0073714
5226         1   10448884   10490565     83       9  140254       2.6875    0.0035999
378708       1   10479944   10520239     85       8  140254       3.5361   0.00020301
100526739    1   10480159   10522060     87       8  140254       3.5283   0.00020908
1325         1   10499776   10522060     27       4  140254       3.6306   0.00014139
1676         1   10510588   10542613     40       7  140254       4.0902   2.1552e-05
5195         1   10525003   10700815    282      18  140254       4.6009   2.1033e-06
54897        1   10686661   10866733    241      47  140254       0.8529      0.19686
148345       1   10996530   11052094    130      15  140254      -1.1718      0.87936
23435        1   11062462   11095549     54       5  140254      -1.2869      0.90094
10747        1   11076580   11117296     60       5  140254     -0.81776      0.79325
6723         1   11104649   11130091     50       4  140254      0.93622      0.17458
5394         1   11116675   11169961    119       4  140254        0.676      0.24952
2475         1   11156588   11332614    281       6  140254      0.78232      0.21701
10218        1   11239346   11266038     35       2  140254      0.71206      0.23821
29914        1   11323255   11358491     28       3  140254     -0.65744      0.74455
57540        1   11529295   11607640    146      11  140254      -1.3533      0.91201
26232        1   11697924   11724888     38      12  140254     -0.77804      0.78173
93611        1   11704432   11733384     48      13  140254      -1.1012      0.86459
26270        1   11714150   11744411     62      11  140254     -0.92619      0.82283
10459        1   11724537   11761678     82      16  140254     -0.51085      0.69527
374946       1   11741781   11790336    104      21  140254       1.3339     0.091116
57085        1   11786142   11820828     61      10  140254       1.3829     0.083346
284498       1   11813827   11859642    145      10  140254     0.054045      0.47845
4524         1   11835787   11876160    145       7  140254     -0.49898       0.6911
1185         1   11856153   11913201    154       9  140254     -0.69804      0.75742
4878         1   11895766   11917840     45       7  140254     -0.33666      0.63181
4879         1   11907521   11928992     40       7  140254   -0.0037183      0.50148
90231        1   11969645   11996485     57       7  140254       0.8745      0.19092
5351         1   11984724   12045599    110      10  140254       1.0248      0.15272
9927         1   12030238   12083572    105       9  140254       2.4438    0.0072669
60672        1   12069299   12102106     40       7  140254        1.463     0.071732
943          1   12113434   12214264    155      33  140254     -0.19058      0.57557
7133         1   12217044   12279279    102      15  140254     -0.78053      0.78246
55187        1   12280101   12582099    204      12  140254     -0.82025      0.79396
9249         1   12617939   12687820    162      24  140254       0.2448       0.4033
343066       1   12694566   12737097     36       4  140254     -0.19345       0.5767
126767       1   12766118   12798726     55       5  140254      0.54104      0.29424
93190        1   12796163   12831102     64       4  140254       1.0441      0.14823
390999       1   12824984   12848049     22       3  140254       1.0875       0.1384
65121        1   12841546   12866777     46       4  140254      -1.3511      0.91167
440560       1   12874468   12901264     74       9  140254      0.15565      0.43815
343069       1   12897261   12918578     32      11  140254      0.34865      0.36368
65122        1   12906941   12931764     18       5  140254      0.30425      0.38047
400735       1   12929033   12956025     29       5  140254      0.31961      0.37463
