GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
100996442    1     132447     184392      1       1  1199124       0.0351        0.486
729759       1     357659     378597      1       1  1199124      0.50153        0.308
81399        1     611096     632034      1       1  1199124      -1.6258        0.948
148398       1     849993     889961     96      16  1199124       1.4256      0.07699
26155        1     869583     904679     67       8  1199124      0.56255      0.28687
339451       1     885967     911099     60      10  1199124     -0.54647      0.70763
84069        1     891872     920488     70      14  1199124      -0.1755      0.56966
84808        1     900579     927473     70      13  1199124    0.0074196      0.49704
57801        1     924342     946608     48       6  1199124       1.3405     0.090034
9636         1     938847     959920     39       4  1199124       2.1139     0.017264
375790       1     945503    1001499     64       7  1199124       1.9681     0.024531
401934       1     997126    1019687     36       4  1199124        1.249      0.10584
54991        1    1007198    1061736    130       9  1199124      0.85654      0.19585
254173       1    1099286    1143315    147      17  1199124       2.0582     0.019786
8784         1    1128888    1152163     67       9  1199124       2.8129    0.0024551
7293         1    1136706    1159703     73       6  1199124       2.2039     0.013765
51150        1    1142288    1177447    123       6  1199124       1.6485     0.049627
126792       1    1157629    1180421     88       3  1199124       1.2478      0.10605
388581       1    1167826    1192102     48       4  1199124       1.0857       0.1388
118424       1    1179292    1219234     55       8  1199124       1.3695     0.085421
6339         1    1205816    1237409     62      12  1199124       1.6808     0.046399
116983       1    1217764    1253304     55      10  1199124       1.4398     0.074959
126789       1    1233962    1257057     21       3  1199124       1.3442     0.089449
54973        1    1236965    1270067     43       5  1199124       2.1391     0.016212
80772        1    1250136    1274276     34       3  1199124       2.3966     0.008273
83756        1    1256726    1279844     41       4  1199124       2.5631    0.0051867
1855         1    1260658    1294509     54       4  1199124       2.6849    0.0036281
54587        1    1278071    1307183     78       7  1199124       1.6221     0.052389
54998        1    1299110    1320818     79       7  1199124      0.99114      0.16081
81669        1    1311091    1344718     65       7  1199124       2.0296     0.021199
55052        1    1327276    1352693     45       5  1199124       2.0889      0.01836
441869       1    1343800    1366824     60       5  1199124       1.9823     0.023724
643965       1    1351508    1373167     45       5  1199124       1.9272     0.026975
64856        1    1360903    1388262     37       8  1199124     -0.19474       0.5772
219293       1    1368152    1415538     62       9  1199124      0.15268      0.43933
83858        1    1397139    1454852     75       7  1199124    -0.082528      0.53289
55210        1    1437523    1480067     68       7  1199124       1.5637      0.05894
339453       1    1460158    1485740     47       6  1199124        2.352    0.0093357
29101        1    1467053    1520262     82       7  1199124       3.3634   0.00038491
643988       1    1523388    1545476     42       6  1199124       1.3813      0.08359
142678       1    1540795    1575990     54       8  1199124        1.727     0.042082
8510         1    1557060    1580030     24       5  1199124       1.9657     0.024669
984          1    1561100    1600473     54       6  1199124       1.7313     0.041701
728661       1    1581486    1634243     84      10  1199124       1.0424      0.14862
728642       1    1623822    1665999    103       6  1199124      -1.3152      0.90578
9906         1    1646277    1687438    110       8  1199124     -0.30308      0.61909
65220        1    1672671    1721508     64       5  1199124      0.50846      0.30557
2782         1    1706725    1832552    108       9  1199124    -0.032477      0.51295
163688       1    1836266    1858733     66       7  1199124      0.93254      0.17553
339456       1    1839029    1860740     67       7  1199124       1.0074      0.15687
85452        1    1843390    1945276    336      22  1199124      0.91327      0.18055
2563         1    1940768    1972192     57       6  1199124      0.23264      0.40802
5590         1    1971909    2126834    325      20  1199124       3.4768   0.00025375
100506504    1    2103250    2125812     24       4  1199124       3.0781    0.0010416
199990       1    2105899    2154159     55       9  1199124       3.6029   0.00015733
6497         1    2150134    2251652    176      28  1199124       5.3968   3.3928e-08
79906        1    2241719    2333190    258      28  1199124        5.671   7.0972e-09
11079        1    2313214    2346883     66      14  1199124       7.3447   1.0308e-13
5192         1    2326241    2354010     65      13  1199124       6.9238   2.1978e-12
9651         1    2397754    2446964     82      10  1199124       1.4054     0.079945
55229        1    2429975    2468061     61       5  1199124      0.75892      0.22395
388585       1    2450184    2471684     25       3  1199124       0.7401      0.22962
8764         1    2477291    2505268     38       2  1199124       1.2921     0.098161
127281       1    2507899    2532908     54       3  1199124      0.20909      0.41719
79258        1    2512078    2574499    116       3  1199124     -0.50966      0.69486
100287898    1    2562807    2716230     85       7  1199124     -0.30822      0.62104
140625       1    2928046    2949467     27       2  1199124      0.23402      0.40748
63976        1    2975565    3365185    787     104  1199124       3.2477   0.00058166
27237        1    3361147    3407677     78       7  1199124        1.054      0.14595
1953         1    3394506    3538059    318      54  1199124     -0.55352      0.71005
127262       1    3531556    3556695     45       6  1199124      -1.6009       0.9453
49856        1    3537331    3576671     45       7  1199124      -1.6484      0.95036
7161         1    3559129    3662765    214      37  1199124      -2.2228      0.98688
148870       1    3658965    3698209     79      12  1199124       1.4919     0.067868
388588       1    3679352    3702546     59       6  1199124       1.7751     0.037937
57470        1    3686784    3723068     88       9  1199124       1.6427     0.050223
9731         1    3718645    3783797    228      12  1199124      0.19216      0.42381
1677         1    3763845    3811993    171      19  1199124      0.12056      0.45202
339448       1    3795697    3826857     79       8  1199124      0.43839      0.33055
55966        1    4705105    4853851    399      62  1199124     -0.68546      0.75347
261734       1    5912870    6062618    237      13  1199124     -0.91706      0.82045
8514         1    6042358    6171253    192      31  1199124      -1.2241      0.88954
26038        1    6151847    6250194    207      26  1199124       -1.122      0.86907
6146         1    6235080    6269679     48       6  1199124      -1.2513      0.89459
388591       1    6256189    6291359     47       7  1199124     -0.10975       0.5437
23463        1    6271253    6306044     43       6  1199124      0.61501      0.26927
390992       1    6294252    6315638     26       3  1199124     0.090187      0.46407
387509       1    6297406    6331035     47       4  1199124     -0.39431      0.65332
11332        1    6314332    6463826    308      16  1199124      0.11127       0.4557
54626        1    6465292    6494724     65       6  1199124     -0.22229      0.58795
83715        1    6474836    6531004     70       8  1199124     -0.53226      0.70273
