GENE       CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
100996442    1     132447     184392      1       1  1209154     -0.55338         0.71
729759       1     357659     378597      1       1  1209154      0.67449         0.25
81399        1     611096     632034      1       1  1209154      0.11052        0.456
148398       1     849993     889961     96      16  1209154       4.0713   2.3375e-05
26155        1     869583     904679     67       8  1209154       2.4953     0.006292
339451       1     885967     911099     60      10  1209154       3.4061   0.00032948
84069        1     891872     920488     70      14  1209154        6.952   1.8002e-12
84808        1     900579     927473     70      13  1209154       7.3874   7.4885e-14
57801        1     924342     946608     48       6  1209154        6.824   4.4283e-12
9636         1     938847     959920     39       4  1209154       5.8604   2.3094e-09
375790       1     945503    1001499     64       7  1209154       5.7916   3.4851e-09
401934       1     997126    1019687     36       4  1209154       4.0762   2.2893e-05
54991        1    1007198    1061736    130       9  1209154       2.2221     0.013138
254173       1    1099286    1143315    147      17  1209154       3.4827   0.00024822
8784         1    1128888    1152163     67       9  1209154       3.7653   8.3168e-05
7293         1    1136706    1159703     73       6  1209154       2.7365     0.003105
51150        1    1142288    1177447    123       6  1209154        1.822     0.034227
126792       1    1157629    1180421     88       3  1209154       1.3803     0.083751
388581       1    1167826    1192102     48       4  1209154       2.1834     0.014502
118424       1    1179292    1219234     55       8  1209154       3.5551   0.00018893
6339         1    1205816    1237409     62      12  1209154       4.5143   3.1769e-06
116983       1    1217764    1253304     55      10  1209154       4.6896   1.3687e-06
126789       1    1233962    1257057     21       3  1209154       5.2107   9.4059e-08
54973        1    1236965    1270067     43       5  1209154       5.3866     3.59e-08
80772        1    1250136    1274276     34       3  1209154       5.2031   9.7983e-08
83756        1    1256726    1279844     41       4  1209154       5.1433   1.3501e-07
1855         1    1260658    1294509     54       4  1209154        5.171    1.164e-07
54587        1    1278071    1307183     78       7  1209154       4.7452   1.0416e-06
54998        1    1299110    1320818     79       7  1209154        4.415    5.051e-06
81669        1    1311091    1344718     65       7  1209154       5.5515   1.4165e-08
55052        1    1327276    1352693     45       5  1209154       4.9691   3.3632e-07
441869       1    1343800    1366824     60       5  1209154       4.3726   6.1379e-06
643965       1    1351508    1373167     45       5  1209154       4.1713   1.5142e-05
64856        1    1360903    1388262     37       8  1209154       3.8167   6.7629e-05
219293       1    1368152    1415538     62       9  1209154         2.15     0.015778
83858        1    1397139    1454852     75       7  1209154       1.1852      0.11796
55210        1    1437523    1480067     68       7  1209154       1.5983     0.054985
339453       1    1460158    1485740     47       6  1209154       1.4997     0.066851
29101        1    1467053    1520262     82       7  1209154        1.475     0.070109
643988       1    1523388    1545476     42       6  1209154        1.327     0.092262
142678       1    1540795    1575990     54       8  1209154       1.7942     0.036388
8510         1    1557060    1580030     24       5  1209154       1.8821     0.029913
984          1    1561100    1600473     54       6  1209154       1.5697     0.058239
728661       1    1581486    1634243     84      10  1209154      0.78496      0.21624
728642       1    1623822    1665999    103       6  1209154      0.72403      0.23452
9906         1    1646277    1687438    110       8  1209154       2.3948    0.0083142
65220        1    1672671    1721508     64       5  1209154        4.527   2.9912e-06
2782         1    1706725    1832552    108       9  1209154       5.2329   8.3431e-08
163688       1    1836266    1858733     66       7  1209154        5.436   2.7252e-08
339456       1    1839029    1860740     67       7  1209154       5.3017   5.7379e-08
85452        1    1843390    1945276    336      22  1209154       4.3687   6.2506e-06
2563         1    1940768    1972192     57       6  1209154      -2.0047       0.9775
5590         1    1971909    2126834    325      20  1209154       1.1331      0.12858
100506504    1    2103250    2125812     24       4  1209154      0.85844      0.19533
199990       1    2105899    2154159     55       9  1209154        2.302     0.010669
6497         1    2150134    2251652    176      28  1209154       2.7672     0.002827
79906        1    2241719    2333190    258      28  1209154       1.4626      0.07179
11079        1    2313214    2346883     66      14  1209154      0.96682      0.16682
5192         1    2326241    2354010     65      13  1209154      0.74416      0.22839
9651         1    2397754    2446964     82      10  1209154     0.030414      0.48787
55229        1    2429975    2468061     61       5  1209154     -0.80462      0.78948
388585       1    2450184    2471684     25       3  1209154     -0.56678      0.71457
8764         1    2477291    2505268     38       2  1209154      -0.2353      0.59301
127281       1    2507899    2532908     54       3  1209154       1.1173      0.13194
79258        1    2512078    2574499    116       3  1209154       1.1974      0.11558
100287898    1    2562807    2716230     85       7  1209154      0.98239      0.16295
140625       1    2928046    2949467     27       2  1209154       5.3886     3.55e-08
63976        1    2975565    3365185    787     104  1209154       4.7014   1.2921e-06
27237        1    3361147    3407677     78       7  1209154    0.0047087      0.49812
1953         1    3394506    3538059    318      54  1209154      -1.3069      0.90437
127262       1    3531556    3556695     45       6  1209154      0.31947      0.37469
49856        1    3537331    3576671     45       7  1209154       1.2552      0.10471
7161         1    3559129    3662765    214      37  1209154      0.92267      0.17809
148870       1    3658965    3698209     79      12  1209154      0.31056      0.37807
388588       1    3679352    3702546     59       6  1209154      0.38133      0.35148
57470        1    3686784    3723068     88       9  1209154      0.60868      0.27137
9731         1    3718645    3783797    228      12  1209154       1.6333     0.051202
1677         1    3763845    3811993    171      19  1209154       1.9156     0.027706
339448       1    3795697    3826857     79       8  1209154       2.4367     0.007412
55966        1    4705105    4853851    399      62  1209154      0.46052      0.32257
261734       1    5912870    6062618    237      13  1209154      -1.6794      0.95346
8514         1    6042358    6171253    192      31  1209154      -1.3958      0.91862
26038        1    6151847    6250194    207      26  1209154      0.18359      0.42717
6146         1    6235080    6269679     48       6  1209154      0.62974      0.26443
388591       1    6256189    6291359     47       7  1209154      0.45993      0.32278
23463        1    6271253    6306044     43       6  1209154    -0.096197      0.53832
390992       1    6294252    6315638     26       3  1209154       1.1428      0.12657
387509       1    6297406    6331035     47       4  1209154       1.0807      0.13991
11332        1    6314332    6463826    308      16  1209154       2.7548     0.002936
54626        1    6465292    6494724     65       6  1209154       2.2832     0.011209
83715        1    6474836    6531004     70       8  1209154       1.7102      0.04361
8718         1    6510787    6537432      9       2  1209154       1.1625      0.12251
57449        1    6516152    6590121    107      13  1209154       2.3091     0.010468
79707        1    6571407    6624658    127       3  1209154       1.3103     0.095041
80835        1    6604987    6649817     72       5  1209154        1.454     0.072977
3104         1    6630051    6659340     30       7  1209154       4.5492   2.6925e-06
9903         1    6640784    6672958     28       5  1209154       5.2803   6.4492e-08
148479       1    6663756    6694093     26       4  1209154        5.124   1.4954e-07
90326        1    6674925    6705646     33       4  1209154       4.9624   3.4816e-07
55735        1    6684228    6771966    101       7  1209154       4.8216   7.1202e-07
23261        1    6835384    7839766   1665     136  1209154       3.0143    0.0012877
9341         1    7821329    7851492     51      10  1209154       2.3844    0.0085536
8863         1    7834413    7915241    155      16  1209154       3.2308   0.00061719
10911        1    7897672    7923551     62      12  1209154       2.7362    0.0031073
3604         1    7965931    8013225     59       7  1209154      0.48293      0.31457
