GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
100996442    1     132447     184392      1       1  247173     -0.45038      0.67378
81399        1     611096     632034      1       1  247173    -0.022935      0.50915
148398       1     849993     889961     88      14  247173       1.4357     0.075541
26155        1     869583     904679     65       7  247173       1.9515     0.025501
339451       1     885967     911099     55       8  247173        1.877     0.030261
84069        1     891872     920488     64      12  247173       1.2638      0.10314
84808        1     900579     927473     64      12  247173      0.19236      0.42373
57801        1     924342     946608     48       6  247173    -0.097734      0.53893
9636         1     938847     959920     39       4  247173       1.2298      0.10939
375790       1     945503    1001499     64       7  247173       1.6096      0.05374
401934       1     997126    1019687     36       4  247173       1.7278     0.042013
54991        1    1007198    1061736    130       9  247173       1.5801      0.05704
254173       1    1099286    1143315    147      17  247173        0.903      0.18326
8784         1    1128888    1152163     67       9  247173      0.43072      0.33334
7293         1    1136706    1159703     73       6  247173     0.042972      0.48286
51150        1    1142288    1177447    123       6  247173     -0.10432      0.54154
126792       1    1157629    1180421     88       3  247173    -0.050363      0.52008
388581       1    1167826    1192102     48       4  247173      0.10358      0.45875
118424       1    1179292    1219234     55       8  247173      0.16229      0.43554
6339         1    1205816    1237409     62      12  247173     -0.17981      0.57135
116983       1    1217764    1253304     55      10  247173     -0.91975      0.82115
126789       1    1233962    1257057     21       3  247173      -1.4252      0.92295
54973        1    1236965    1270067     43       5  247173     -0.77578      0.78106
80772        1    1250136    1274276     34       3  247173     -0.26294       0.6037
83756        1    1256726    1279844     41       4  247173     -0.12626      0.55024
1855         1    1260658    1294509     54       4  247173    -0.068012      0.52711
54587        1    1278071    1307183     78       7  247173     -0.79374      0.78633
54998        1    1299110    1320818     79       7  247173     -0.97483      0.83518
81669        1    1311091    1344718     65       7  247173     -0.25925      0.60228
55052        1    1327276    1352693     45       5  247173      0.11893      0.45267
441869       1    1343800    1366824     60       5  247173     -0.31077      0.62201
643965       1    1351508    1373167     45       5  247173     -0.76597      0.77815
64856        1    1360903    1388262     37       8  247173     -0.32939      0.62907
219293       1    1368152    1415538     62       9  247173     -0.86098      0.80538
83858        1    1397139    1454852     75       7  247173      -1.9354      0.97353
55210        1    1437523    1480067     68       7  247173       -1.052      0.85359
339453       1    1460158    1485740     47       6  247173      -1.3103      0.90495
29101        1    1467053    1520262     82       7  247173      -2.1548      0.98441
643988       1    1523388    1545476     42       6  247173     -0.84464      0.80084
142678       1    1540795    1575990     54       8  247173     -0.47888      0.68399
8510         1    1557060    1580030     24       5  247173      0.11427      0.45451
