ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000169554	ZEB2	2	145141648	145282147	-1	protein_coding	9839	ZEB2	0.999833866722983	-3.332450679	40	17.55	0.00266202	rs35339313;rs12991836;rs16855324;rs35783446;rs35015447;rs13003631;rs35213774;rs68066623;rs13009259;rs13016542;rs17738837;rs13013418;rs10185359;rs11683355;rs55755433;rs35728039;rs3770305;rs3755090;rs3755091;rs16823675;rs11904051;rs16823683;rs10928212;rs6721820;rs2288353;rs10197694;rs7600752;rs12614546;rs7560525;rs55636104;rs6748886;rs34227912;rs12996983;rs10192562;rs10164806;rs13401103;rs72858474;rs16823732;rs7568133;rs16823737	1
ENSG00000183654	MARCH11	5	16067248	16180871	-1	protein_coding	441061	MARCH11	0.0024662431250002	NA	2	3.713	0.0540944	rs168264;rs3099462	2
ENSG00000151067	CACNA1C	12	2079952	2802108	1	protein_coding	775	CACNA1C	0.99999843310185	-0.35401516	120	16.18	0.000142073	rs10848624;rs10848625;rs10848626;rs10774030;rs758171;rs11062145;rs2283287;rs2283288;rs2238045;rs2238046;rs2238047;rs2238048;rs61909095;rs7133502;rs7308351;rs2239018;rs2238049;rs2238050;rs2238052;rs2098013;rs10774032;rs10459125;rs2239019;rs2239020;rs2239021;rs2239022;rs2239023;rs2239024;rs2239025;rs2239026;rs2239027;rs10848627;rs10848628;rs12422554;rs4765668;rs10848629;rs4765902;rs4765669;rs4765670;rs10774033;rs10848631;rs758173;rs758174;rs10848632;rs10848633;rs10848634;rs10848636;rs10848637;rs2238053;rs11062156;rs2238054;rs7957545;rs12423277;rs12424245;rs11062159;rs3922316;rs2190771;rs10848642;rs4765904;rs1108222;rs1108074;rs1108075;rs11062166;rs2239030;rs2283291;rs2239033;rs3794297;rs6489353;rs2238056;rs11062161;rs10774034;rs11062162;rs1108073;rs769087;rs1006737;rs2159100;rs758170;rs10774035;rs10774036;rs10744560;rs1024582;rs34382810;rs68089646;rs4298967;rs2370414;rs2238051;rs2239037;rs2370413;rs4765911;rs2239038;rs2238057;rs1860002;rs76603827;rs78907301;rs77372211;rs2007044;rs7297582;rs2238055;rs11062158;rs10848641;rs72653432;rs12228890;rs2239028;rs11062164;rs11062165;rs7312354;rs882194;rs2239031;rs11613885;rs7303977;rs7135319;rs2239034;rs2239035;rs2239036;rs7975467;rs882193;rs111438652;rs10848645;rs4765914;rs10774037	4
ENSG00000140564	FURIN	15	91411822	91426688	1	protein_coding	5045	FURIN	0.999933300929352	-0.156379719	20	17.36	1.01316e-06	rs8029440;rs4932178;rs8027450;rs1573643;rs1573644;rs6227;rs1894400;rs3759929;rs17514846;rs8039305;rs6224;rs4702;rs2071382;rs11539637;rs7183988;rs7177338;rs59596774;rs60994696;rs75493298;rs79865852	5
ENSG00000182511	FES	15	91426925	91439006	1	protein_coding	2242	FES	2.77390387287312e-05	NA	16	17.36	1.01316e-06	rs59596774;rs60994696;rs75493298;rs79865852;rs8029440;rs4932178;rs8027450;rs1573643;rs1573644;rs6227;rs1894400;rs17514846;rs8039305;rs6224;rs4702;rs2071382;rs11539637;rs7183988;rs7177338	5
ENSG00000130513	GDF15	19	18485541	18499986	1	protein_coding	9518	GDF15	0.000282486503125805	0.867795889	1	4.381	0.73315	rs8106931	6
ENSG00000175489	LRRC25	19	18501954	18508427	-1	protein_coding	126364	LRRC25	0.943472206020923	1.253818449	17	7.702	3.71932e-18	rs8106931;rs2888142;rs11086108;rs11671540;rs1002640;rs8112969;rs10421074;rs12971295;rs13344313;rs9749546;rs10424080;rs35336015;rs3859570;rs11086109;rs1560117;rs1985157;rs11668719;rs11086110;rs7255936;rs8100343;rs34213500;rs8111824;rs12982295;rs28534973;rs13382142;rs4808800	6
ENSG00000130511	SSBP4	19	18529674	18545372	1	protein_coding	170463	SSBP4	0.96165888216155	NA	34	16.1	1.11923e-28	rs11671540;rs1002640;rs8112969;rs35336015;rs11086110;rs7255936;rs10402247;rs8100343;rs34213500;rs8111824;rs12982295;rs28534973;rs888669;rs35742476;rs2303692;rs10423802;rs11879757;rs7246788;rs35004712;rs7247540;rs4808803;rs4808805;rs11672385;rs8111397;rs8102717;rs4808807;rs11668704;rs4808808;rs10416993;rs11670392;rs7256530;rs7249760;rs10409346;rs10409408;rs7251640;rs10410797;rs1469412;rs1469413;rs6512269;rs6512270;rs4580317;rs10418331;rs4808812;rs6512271;rs8112859;rs8112372;rs8106332;rs8106068;rs57923655;rs8104247;rs4006662;rs4303657;rs12983263;rs34509804;rs7257932;rs28375303;rs7258465;rs10405636;rs34746918;rs11673604;rs10408290;rs10409003;rs3810429;rs10442;rs2385088;rs2303697;rs10413237;rs2303696;rs10427083;rs28572537;rs1043327;rs34053595;rs8111708;rs34171762;rs748609;rs2303695;rs10405479;rs8107367;rs8107743;rs8103660;rs1806980;rs2007981;rs10164323;rs10164319;rs1560118;rs4808801;rs8103622;rs1560119;19:18576484;rs4808804;rs7256534;rs7254249;rs8105994;rs10403249;rs10411009;rs34256197;rs7249020;rs7251653;rs4808133;rs4808134;rs875396;rs7252707;rs8107347;rs8107351;rs8109573;rs4808136;rs271629;rs271628;rs271626;rs271624;rs271623;rs271622;rs76195;rs76194;rs271621;rs79355165;rs77488050;rs8102195;rs75581575;rs79557920;rs74701207;rs113465793;rs2303693;rs2303694;rs79257623;rs8103520;rs78061871;rs76184771;rs79888481;rs75445489;rs111682204;rs74497531;rs77571703;rs75245298;rs78855479;rs75681761;rs8107222;rs79341622;rs7251067;rs78036311;rs74389203;rs8101992;rs7246328;rs77543386	6
ENSG00000105655	ISYNA1	19	18545198	18549111	-1	protein_coding	51477	ISYNA1	0.00263929952719535	NA	23	16.1	1.74173e-28	rs11671540;rs1002640;rs8112969;rs35336015;rs11086110;rs7255936;rs10402247;rs8100343;rs34213500;rs8111824;rs12982295;rs28534973;rs888669;rs35742476;rs2303692;rs10423802;rs11879757;rs7246788;rs35004712;rs7247540;rs4808803;rs4808805;rs11672385;rs8111397;rs8102717;rs4808807;rs11668704;rs4808808;rs10416993;rs11670392;rs7256530;rs7249760;rs10409346;rs10409408;rs7251640;rs10410797;rs1469412;rs1469413;rs6512269;rs6512270;rs4580317;rs10418331;rs4808812;rs6512271;rs8112859;rs8112372;rs8106332;rs8106068;rs57923655;rs8104247;rs4006662;rs4303657;rs12983263;rs34509804;rs7257932;rs28375303;rs7258465;rs10405636;rs34746918;rs11673604;rs10408290;rs10409003;rs3810429;rs10442;rs2385088;rs2303697;rs10413237;rs2303696;rs10427083;rs28572537;rs1043327;rs34053595;rs8111708;rs34171762;rs748609;rs2303695;rs10405479;rs8107367;rs8107743;rs8103660;rs1806980;rs2007981;rs10164323;rs10164319;rs1560118;rs4808801;rs8103622;rs1560119;19:18576484;rs4808804;rs7256534;rs7254249;rs8105994;rs10403249;rs10411009;rs34256197;rs7249020;rs7251653;rs4808133;rs4808134;rs875396;rs7252707;rs8107347;rs8107351;rs8109573;rs4808136;rs271629;rs271628;rs271626;rs271624;rs271623;rs271622;rs76195;rs76194;rs271621;rs79355165;rs77488050;rs8102195;rs75581575;rs79557920;rs74701207;rs113465793;rs2303693;rs2303694;rs79257623;rs8103520;rs78061871;rs76184771;rs79888481;rs75445489;rs111682204;rs74497531;rs77571703;rs75245298;rs78855479;rs75681761;rs8107222;rs79341622;rs7251067;rs78036311;rs74389203;rs8101992;rs7246328;rs77543386	6
ENSG00000105656	ELL	19	18553473	18632937	-1	protein_coding	8178	ELL	0.940941238331597	-0.635599911	116	16.1	4.77247e-29	rs34509804;rs7257932;rs28375303;rs7258465;rs10405636;rs34746918;rs11673604;rs10408290;rs10409003;rs3810429;rs10442;rs2385088;rs2303697;rs10413237;rs2303696;rs10427083;rs28572537;rs1043327;rs34053595;rs8111708;rs34171762;rs748609;rs2303695;rs10405479;rs8107367;rs8107743;rs8103660;rs1806980;rs2007981;rs10164323;rs10164319;rs1560118;rs4808801;rs8103622;rs1560119;19:18576484;rs4808804;rs7256534;rs7254249;rs8105994;rs10403249;rs10411009;rs34256197;rs7249020;rs7251653;rs4808133;rs4808134;rs875396;rs7252707;rs8107347;rs8107351;rs8109573;rs4808136;rs271629;rs271628;rs271626;rs271624;rs271623;rs271622;rs76195;rs76194;rs271621;rs79355165;rs77488050;rs8102195;rs75581575;rs79557920;rs74701207;rs113465793;rs2303693;rs2303694;rs79257623;rs8103520;rs78061871;rs76184771;rs79888481;rs75445489;rs111682204;rs74497531;rs77571703;rs75245298;rs78855479;rs75681761;rs8107222;rs79341622;rs7251067;rs78036311;rs74389203;rs8101992;rs7246328;rs77543386;rs35336015;rs11086110;rs7255936;rs10402247;rs8100343;rs34213500;rs8111824;rs12982295;rs28534973;rs888669;rs35742476;rs2303692;rs10423802;rs11879757;rs7246788;rs35004712;rs7247540;rs4808803;rs4808805;rs11672385;rs8111397;rs8102717;rs4808807;rs11668704;rs4808808;rs10416993;rs11670392;rs7256530;rs7249760;rs10409346;rs10409408;rs7251640;rs10410797;rs1469412;rs1469413;rs6512269;rs6512270;rs4580317;rs10418331;rs4808812;rs6512271;rs8112859;rs8112372;rs8106332;rs8106068;rs57923655;rs8104247;rs4006662;rs4303657;rs12983263;rs731945	6
