ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000134249	ADAM30	1	120436156	120439118	-1	protein_coding	11085	ADAM30	0.00193807290428196	-0.508915992	20	13.53	4.68982e-07	rs2793837;rs12061529;rs12097800;rs60949447;rs17024432;rs56918624;rs60234477;rs67765421;rs2843021;rs4659247;rs10923921;rs10802138;rs6428845;rs12075536;rs35273427;rs72697239;rs17258599;rs2641348;rs2027447;rs2487568;rs2641346;rs2793826;rs2641352;rs2493398;rs2641338;rs3897478;rs947273;rs699779;rs699780;rs835576;rs835575;rs2793829;rs835574;rs835573;rs2793830;rs2493394;rs2493392;rs2493391;rs2493390;rs2493389;rs6688004;rs2453056;rs5025718;rs2453058;rs2493420;rs2493415;rs2934387;rs7534586;rs2453051;rs1493696;rs2934381;rs2493411;rs2453044;rs2493410;rs1493695;rs7515431;rs2641317;rs10923931;rs56302051;rs2793831;rs2641316;rs1493694;rs2453042;rs2453040;rs1493698;rs406767;rs7530844;rs74115387;rs74115388	1
ENSG00000134250	NOTCH2	1	120454176	120612240	-1	protein_coding	4853	NOTCH2	0.999999993249444	0.011335748	79	17.09	3.06122e-06	rs74115387;rs2641348;rs2027447;rs2487568;rs2641346;rs2793826;rs2641352;rs2493398;rs2641338;rs3897478;rs947273;rs699779;rs699780;rs835576;rs835575;rs2793829;rs835574;rs835573;rs2793830;rs2493394;rs2493392;rs2493391;rs2493390;rs2493389;rs6688004;rs2453056;rs5025718;rs2453058;rs2493420;rs2493415;rs2934387;rs7534586;rs2453051;rs1493696;rs2934381;rs2493411;rs2453044;rs2493410;rs1493695;rs7515431;rs2641317;rs10923931;rs56302051;rs2793831;rs2641316;rs1493694;rs2453042;rs2453040;rs1493698;rs406767;rs74115388;rs7530844;rs74115390;rs74115392;rs74115396;rs17024487;rs1043964;rs7527186;rs3795666;rs10494233;rs17024508;rs56342935;rs74117505;rs113896243;rs112391001;rs17024536;rs35273427;rs72697239;rs17258599;rs74117563;rs74117565;rs74117567;rs59024536;rs74117570;rs112305138;rs17024564;rs17024577;rs17024584;rs10494234;rs17258606;rs74115509;rs1493693;rs6662643;rs61200250;rs111334782	1
ENSG00000169242	EFNA1	1	155099936	155107333	1	protein_coding	1942	EFNA1	0.872063427950098	0.409868429	16	20.4	7.75236e-09	rs6427158;rs11264312;rs4625273;rs4361977;rs11264313;rs7366355;rs7367207;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs11264321;rs10908456;rs4303067;rs7364869;rs11264322;rs7366138;rs10796939;rs12145362;rs34815285;rs11264327;rs11264328;rs11264329;rs12040970;rs9330263;rs11264331;rs6665822;rs4390169;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs4971078;rs12129003;rs4971054;rs4644481;rs34257409;rs4276913;rs12028043;rs12124306;rs7535292;rs4971077;rs4971079;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs9330264;rs4971091;rs4971093	2
ENSG00000169241	SLC50A1	1	155107820	155111329	1	protein_coding	55974	SLC50A1	0.130229792296048	-0.609412945	9	20.4	3.02688e-08	rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs7366138;rs10796939;rs12145362;rs34815285;rs11264327;rs11264328;rs11264329;rs12040970;rs9330263;rs11264331;rs6665822;rs4390169;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs7535292;rs4971077;rs4971078;rs12129003;rs4971054;rs4971079;rs34257409;rs4276913;rs12028043;rs12124306;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs4644481;rs4971091;rs4971093	2
ENSG00000179085	DPM3	1	155112367	155113071	-1	protein_coding	54344	DPM3	0.233470170067034	0.032111124	10	20.4	3.02688e-08	rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs7366138;rs10796939;rs12145362;rs34815285;rs11264327;rs11264328;rs11264329;rs12040970;rs9330263;rs11264331;rs6665822;rs4390169;rs7535292;rs4971077;rs4971079;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs4971078;rs12129003;rs4971054;rs34257409;rs4276913;rs12028043;rs12124306;rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs4644481;rs4971091;rs4971093;rs4971059;rs6427184	2
ENSG00000163463	KRTCAP2	1	155141884	155145951	-1	protein_coding	200185	KRTCAP2	0.0299704903065574	-0.290243823	21	12.24	2.46311e-12	rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs7366138;rs10796939;rs12145362;rs11264327;rs11264331;rs4390169;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs7535292;rs4971077;rs4971078;rs12129003;rs4971054;rs4971079;rs4644481;rs34257409;rs4276913;rs12028043;rs12124306;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs4971091;rs4971093;rs4971059;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs34815285;rs11264328;rs11264329;rs12040970;rs9330263;rs6665822;rs4072037;rs12411216;rs2974937;rs2066981;rs370545;rs914615;rs141942982;rs111508230;rs41264915;rs35154152;rs67579710;rs11580040;rs3814316;rs11264341;rs4971100;rs4971101;rs2070803;rs7366775;rs423144;rs2075571;rs58939130;rs1611774;rs1057941	2
ENSG00000273088	RP11-201K10.3	1	155141885	155159748	-1	protein_coding	NA	NA	NA	NA	30	14.84	2.46311e-12	rs4361977;rs7367207;rs11264321;rs10908456;rs4303067;rs11264322;rs7366138;rs10796939;rs12145362;rs11264327;rs11264331;rs4390169;rs9297;rs12904;rs11264333;rs4971073;rs4246529;rs10157801;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs7535292;rs4971077;rs4971078;rs12129003;rs4971054;rs4971079;rs4644481;rs34257409;rs4276913;rs12028043;rs12124306;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs4971091;rs4971093;rs4971059;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs34815285;rs11264328;rs11264329;rs12040970;rs9330263;rs6665822;rs4072037;rs12411216;rs2974937;rs2066981;rs370545;rs914615;rs141942982;rs111508230;rs41264915;rs35154152;rs67579710;rs11580040;rs3814316;rs11264341;rs4971100;rs4971101;rs2070803;rs7366775;rs423144;rs2075571;rs58939130;rs1611774;rs1057941;rs2974935;rs2075570;rs28445596;rs2049805;rs2974930;rs2974929;rs2990245	2
ENSG00000163462	TRIM46	1	155145873	155157447	1	protein_coding	80128	TRIM46	0.998652125444883	-0.656689926	22	14.84	2.46311e-12	rs141942982;rs111508230;rs41264915;rs35154152;rs67579710;rs11580040;rs6427158;rs11264312;rs4625273;rs11264313;rs7366355;rs7368345;rs6693477;rs7548955;rs7546746;rs11264319;rs11583762;rs7364869;rs34815285;rs11264328;rs11264329;rs12040970;rs9330263;rs11264331;rs6665822;rs4390169;rs9297;rs12904;rs11264333;rs4246529;rs10157801;rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs7535292;rs4971077;rs4971078;rs12129003;rs4971054;rs4971079;rs34257409;rs4276913;rs12028043;rs12124306;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs4072037;rs12411216;rs2974937;rs2066981;rs370545;rs914615;rs4971091;rs4971093;rs4971059;rs3814316;rs11264341;rs4971100;rs4971101;rs2070803;rs7366775;rs423144;rs2075571;rs58939130;rs1611774;rs1057941;rs2974935;rs2075570;rs28445596;rs2049805;rs2974930;rs2974929;rs2990245	2
ENSG00000185499	MUC1	1	155158300	155162707	-1	protein_coding	4582	MUC1	0.730964975196719	NA	15	14.84	2.46311e-12	rs7364524;rs4971076;rs6668815;rs4971052;rs11264334;rs11264335;rs10908458;rs4971078;rs12129003;rs4971054;rs34257409;rs4276913;rs12028043;rs12124306;rs4971091;rs4971093;rs4971059;rs3814316;rs11264341;rs4971100;rs4971101;rs2070803;rs7366775;rs423144;rs2075571;rs1057941;rs111508230;rs1611774;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs4072037;rs12411216;rs2974937;rs2066981;rs370545;rs914615;rs2974935;rs2075570;rs28445596;rs2049805;rs2974930;rs2974929;rs2990245;rs41264915	2
ENSG00000169231	THBS3	1	155165379	155178842	-1	protein_coding	7059	THBS3	1.20600565280442e-08	-0.314766046	20	21.1	2.11483e-11	rs4971091;rs4971093;rs4971059;rs3814316;rs11264341;rs4971100;rs4971101;rs2070803;rs7366775;rs423144;rs2075571;rs1057941;rs1611774;rs4460629;rs12752585;rs4971085;rs11264337;rs11264338;rs7556304;rs11264339;rs4421576;rs4276914;rs4971089;rs4072037;rs12411216;rs2974937;rs2066981;rs370545;rs914615;rs2974935;rs2075570;rs28445596;rs2049805;rs2974930;rs2974929;rs2990245;rs41264915;rs35154152;rs67579710	2
