ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000142657	PGD	1	10458649	10480201	1	protein_coding	5226	PGD	0.968660462332331	-0.355214088	11	10.13	2.91926e-06	rs522029;rs585703;rs586096;rs579398;rs475549;rs505141;rs528713;rs632690;rs634358;rs649101;rs649639;rs481571;rs678850;rs519472;rs583515;rs522280;rs586223;rs597441;rs1307485;rs201071645;1:10495767;rs369098411;rs372494304;1:10495773;rs2483683;rs2478013;rs1760664;rs2483684;rs643400;rs1760666;rs1750349;rs12126556;rs1307487;rs10746494;rs12745969;rs12134590;rs11121572;rs1203122;rs672606;rs2781233;rs655271;rs684016;rs663864;rs12565133;rs670666;rs673254;rs585406;rs2186949;rs12073943;rs1755592;rs7543322;rs602601;rs604814;rs604369;rs589151;rs2274985;rs11121581;rs7419116;rs11584327;rs7548453;rs17035189;rs11580264;rs628462;rs56006920;rs55913143;rs12117392;rs12120962;rs6688558;rs6696891;rs7555790;rs12127400;rs9660218;rs7512495;rs6676491;rs12139169;rs146595892;rs116395144;rs144221737;rs116942203;rs61776015;rs189080634;rs61776020;rs61776039;rs9661820;rs2274986;rs61776041;rs61776043;rs6680568;1:10540257;rs111880532;rs77101613;rs61776045;rs2483676;rs6668910;rs6540934;rs6540935;rs7512333;rs12057729;rs61777175;rs17035154;rs61777176;rs61777177;rs12063215;rs12090079;rs28522839;rs12091086;rs7524983;rs6664032;rs28435785;rs61777178;rs57986045;rs61777209;rs28663566;rs7551790;rs7534960;rs61776260;rs61776261	1
ENSG00000175279	APITD1	1	10490159	10512210	1	protein_coding	378708	APITD1	0.00852090111528864	0.161004781	68	17.52	6.72006e-11	rs522029;rs585703;rs586096;rs579398;rs475549;rs505141;rs528713;rs632690;rs634358;rs649101;rs649639;rs481571;rs678850;rs519472;rs583515;rs522280;rs586223;rs597441;rs1307485;rs201071645;1:10495767;rs369098411;rs372494304;1:10495773;rs2483683;rs2478013;rs1760664;rs2483684;rs643400;rs1760666;rs1750349;rs12126556;rs1307487;rs10746494;rs12745969;rs12134590;rs11121572;rs1203122;rs672606;rs2781233;rs655271;rs684016;rs663864;rs12565133;rs670666;rs673254;rs585406;rs2186949;rs12073943;rs1755592;rs7543322;rs602601;rs604814;rs604369;rs589151;rs2274985;rs11121581;rs7419116;rs11584327;rs7548453;rs17035189;rs11580264;rs628462;rs56006920;rs55913143;rs12117392;rs12120962;rs6688558;rs6696891;rs7555790;rs12127400;rs9660218;rs7512495;rs6676491;rs12139169;rs146595892;rs116395144;rs144221737;rs116942203;rs61776015;rs189080634;rs61776020;rs61776039;rs9661820;rs2274986;rs61776041;rs61776043;rs6680568;1:10540257;rs111880532;rs77101613;rs61776045;rs2483676;rs6668910;rs6540934;rs6540935;rs7512333;rs12057729;rs61777175;rs17035154;rs61777176;rs61777177;rs12063215;rs12090079;rs28522839;rs12091086;rs7524983;rs6664032;rs28435785;rs61777178;rs57986045;rs61777209;rs28663566;rs7551790;rs7534960;rs61776260;rs61776261;rs484416;rs2847336;rs676995;rs544289;rs2847337;rs10864455;rs10864456;rs4285702;rs1307489;rs1307490;rs1307491;rs1307493;rs1307494;rs1308520;rs666103;rs1307497;rs6540931;rs2483686;1:10518596;rs7537164;rs1188530;rs72867498;rs59548624;rs10864457	1
ENSG00000251503	APITD1-CORT	1	10490159	10512210	1	protein_coding	100526739	APITD1-CORT	0.00852090111528864	0.161004781	68	17.52	6.72006e-11	rs522029;rs585703;rs586096;rs579398;rs475549;rs505141;rs528713;rs632690;rs634358;rs649101;rs649639;rs481571;rs678850;rs519472;rs583515;rs522280;rs586223;rs597441;rs1307485;rs201071645;1:10495767;rs369098411;rs372494304;1:10495773;rs2483683;rs2478013;rs1760664;rs2483684;rs643400;rs1760666;rs1750349;rs12126556;rs1307487;rs10746494;rs12745969;rs12134590;rs11121572;rs1203122;rs672606;rs2781233;rs655271;rs684016;rs663864;rs12565133;rs670666;rs673254;rs585406;rs2186949;rs12073943;rs1755592;rs7543322;rs602601;rs604814;rs604369;rs589151;rs2274985;rs11121581;rs7419116;rs11584327;rs7548453;rs17035189;rs11580264;rs628462;rs56006920;rs55913143;rs12117392;rs12120962;rs6688558;rs6696891;rs7555790;rs12127400;rs9660218;rs7512495;rs6676491;rs12139169;rs146595892;rs116395144;rs144221737;rs116942203;rs61776015;rs189080634;rs61776020;rs61776039;rs9661820;rs2274986;rs61776041;rs61776043;rs6680568;1:10540257;rs111880532;rs77101613;rs61776045;rs2483676;rs6668910;rs6540934;rs6540935;rs7512333;rs12057729;rs61777175;rs17035154;rs61777176;rs61777177;rs12063215;rs12090079;rs28522839;rs12091086;rs7524983;rs6664032;rs28435785;rs61777178;rs57986045;rs61777209;rs28663566;rs7551790;rs7534960;rs61776260;rs61776261;rs484416;rs2847336;rs676995;rs544289;rs2847337;rs10864455;rs10864456;rs4285702;rs1307489;rs1307490;rs1307491;rs1307493;rs1307494;rs1308520;rs666103;rs1307497;rs6540931;rs2483686;1:10518596;rs7537164;rs1188530;rs72867498;rs59548624;rs10864457	1
ENSG00000241563	CORT	1	10509776	10511959	1	protein_coding	1325	CORT	0.0098377909618654	-0.34286246	28	14.67	6.72006e-11	rs146595892;rs116395144;rs144221737;rs116942203;rs61776015;rs189080634;rs61776020;rs61776039;rs9661820;rs2274986;rs61776041;rs61776043;rs6680568;1:10540257;rs111880532;rs77101613;rs61776045;rs2483676;rs6668910;rs6540934;rs6540935;rs7512333;rs12057729;rs61777175;rs17035154;rs61777176;rs61777177;rs12063215;rs12090079;rs28522839;rs12091086;rs7524983;rs6664032;rs28435785;rs61777178;rs57986045;rs61777209;rs28663566;rs7551790;rs7534960;rs61776260;rs61776261;rs59548624;rs484416;rs2847336;rs676995;rs544289;rs2847337;rs10864455;rs10864456;rs4285702;rs1307489;rs1307490;rs1307491;rs1307493;rs1307494;rs1308520;rs666103;rs1307497;rs6540931;rs2483686;1:10518596;rs7537164;rs1188530;rs522029;rs586096;rs475549;rs505141;rs528713;rs632690;rs634358;rs649101;rs649639;rs481571;rs678850;rs519472;rs583515;rs522280;rs586223;rs597441;rs1307485;rs2483683;rs2478013;rs1760664;rs2483684;rs643400;rs1760666;rs1750349;rs12126556;rs1307487;rs10746494;rs12745969;rs12134590;rs11121572;rs1203122;rs672606;rs2781233;rs655271;rs684016;rs663864;rs12565133;rs670666;rs673254;rs585406;rs585703;rs579398;rs201071645;1:10495767;rs369098411;rs372494304;1:10495773;rs2186949;rs12073943;rs1755592;rs7543322;rs602601;rs604814;rs604369;rs589151;rs2274985;rs11121581;rs7419116;rs11584327;rs7548453;rs17035189;rs11580264;rs628462;rs56006920;rs55913143;rs12117392;rs12120962;rs6688558;rs6696891;rs7555790;rs12127400;rs9660218;rs7512495;rs6676491;rs12139169	1
ENSG00000160049	DFFA	1	10516579	10532583	-1	protein_coding	1676	DFFA	0.00021837065189826	-1.848008585	49	14.67	5.5407e-20	rs522029;rs585703;rs586096;rs579398;rs475549;rs505141;rs528713;rs632690;rs634358;rs649101;rs649639;rs481571;rs678850;rs519472;rs583515;rs522280;rs586223;rs597441;rs1307485;rs201071645;1:10495767;rs369098411;rs372494304;1:10495773;rs2483683;rs2478013;rs1760664;rs2483684;rs643400;rs1760666;rs1750349;rs12126556;rs1307487;rs10746494;rs12745969;rs12134590;rs11121572;rs1203122;rs672606;rs2781233;rs655271;rs684016;rs663864;rs12565133;rs670666;rs673254;rs585406;rs2186949;rs12073943;rs1755592;rs7543322;rs602601;rs604814;rs604369;rs589151;rs2274985;rs11121581;rs7419116;rs11584327;rs7548453;rs17035189;rs11580264;rs484416;rs2847336;rs676995;rs544289;rs2847337;rs10864455;rs10864456;rs4285702;rs1307489;rs1307490;rs1307491;rs1307493;rs1307494;rs1308520;rs666103;rs1307497;rs6540931;rs2483686;1:10518596;rs7537164;rs1188530;rs628462;rs56006920;rs55913143;rs12117392;rs12120962;rs6688558;rs6696891;rs7555790;rs12127400;rs9660218;rs7512495;rs6676491;rs12139169;rs146595892;rs116395144;rs144221737;rs116942203;rs61776015;rs189080634;rs61776020;rs61776039;rs9661820;rs2274986;rs61776041;rs61776043;rs6680568;1:10540257;rs111880532;rs77101613;rs61776045;rs2483676;rs6668910;rs6540934;rs6540935;rs7512333;rs12057729;rs61777175;rs17035154;rs61777176;rs61777177;rs12063215;rs12090079;rs28522839;rs12091086;rs7524983;rs6664032;rs28435785;rs61777178;rs57986045;rs61777209;rs28663566;rs7551790;rs7534960;rs61776260;rs61776261;rs10864457;rs34372628;rs12065251;rs12729844;rs6667629;rs34132699;rs1152739;rs607941;rs10864458;rs12124486;rs652771;rs2781232;rs668805;rs669701;rs587916;rs6540933;rs1188528;rs585870;rs1188525;rs597438;rs596537;rs620405;rs622623;rs648324;rs648399;rs662064;rs660725;rs589400;rs6658216;rs1632108;rs683864;rs202087283;rs2506901;rs10864459;rs2506902;rs2781230;rs2847344;rs12129512;rs12725704;rs12402967;rs636291;rs74225522;rs9970001;rs4846228;rs74810178;rs76282123;rs2480787;rs2506878;rs2506879;rs2480786;rs74225528;rs2483678;rs2506886;rs7522072;rs2506887;rs2480789;rs17035156;rs2039176;rs2039175;rs2480780;rs10779738;rs10864461;rs6681221;rs2988398;rs2506897;rs2506898;rs2480775;rs944191;rs4846230;rs2480773;rs12128630;rs2480772;rs2183377;rs2506900;rs6700023;rs4846231;rs4846232;rs10157111;rs10157119;rs10864463;rs35612158;rs10779739;rs11121584;rs4846233;rs4240915;rs11121585;rs7545184;rs11121589;rs6700886;rs61777207;rs10746495;rs58788814;rs7512467;rs61777208;rs12033275;rs114425920;rs72641424;rs12129678;rs10864465;rs11121596;rs11121597;rs1755594;rs616488;rs616402;rs617728;rs2506880;rs2480785;rs1411402;rs2483677;rs2056417;rs2026792;rs2506889;rs12375;rs2480777;rs2506892;rs2506896;rs2150038;rs67488812;rs17035305;rs12028449;rs11121587;rs34575776;rs4846235;rs112436634;1:10540898;rs568713909;1:10540916	1
ENSG00000142655	PEX14	1	10532345	10690815	1	protein_coding	5195	PEX14	0.634568377657546	-0.549492539	250	21.8	2.73606e-21	rs146595892;rs116395144;rs144221737;rs116942203;rs61776015;rs189080634;rs61776020;rs61776039;rs9661820;rs2274986;rs61776041;rs61776043;rs6680568;1:10540257;rs111880532;rs77101613;rs61776045;rs2483676;rs6668910;rs6540934;rs6540935;rs7512333;rs12057729;rs61777175;rs17035154;rs61777176;rs61777177;rs12063215;rs12090079;rs28522839;rs12091086;rs7524983;rs6664032;rs28435785;rs61777178;rs57986045;rs61777209;rs28663566;rs7551790;rs7534960;rs61776260;rs61776261;rs34372628;rs12065251;rs12729844;rs6667629;rs34132699;rs1152739;rs607941;rs10864458;rs12124486;rs652771;rs2781232;rs668805;rs669701;rs587916;rs6540933;rs1188528;rs585870;rs1188525;rs597438;rs596537;rs620405;rs622623;rs636291;rs648324;rs648399;rs662064;rs660725;rs589400;rs6658216;rs1632108;rs683864;rs202087283;rs2506901;rs10864459;rs2506902;rs2781230;rs2847344;rs12129512;rs12725704;rs12402967;rs522029;rs586096;rs475549;rs505141;rs528713;rs632690;rs634358;rs649101;rs649639;rs481571;rs678850;rs519472;rs583515;rs522280;rs586223;rs597441;rs1307485;rs201071645;1:10495767;rs369098411;rs372494304;1:10495773;rs2483683;rs2478013;rs1760664;rs2483684;rs643400;rs1760666;rs1750349;rs12126556;rs1307487;rs10746494;rs12745969;rs12134590;rs11121572;rs1203122;rs672606;rs2781233;rs655271;rs684016;rs663864;rs12565133;rs670666;rs673254;rs585406;rs2186949;rs12073943;rs1755592;rs7543322;rs602601;rs604814;rs604369;rs589151;rs2274985;rs11121581;rs7419116;rs11584327;rs7548453;rs17035189;rs11580264;rs484416;rs2847336;rs676995;rs544289;rs2847337;rs10864455;rs10864456;rs4285702;rs1307489;rs1307490;rs1307491;rs1307493;rs1307494;rs1308520;rs666103;rs1307497;rs6540931;rs2483686;1:10518596;rs7537164;rs1188530;rs74225522;rs9970001;rs4846228;rs74810178;rs76282123;rs2480787;rs2506878;rs2506879;rs2480786;rs74225528;rs2483678;rs2506886;rs7522072;rs2506887;rs2480789;rs17035156;rs2039176;rs2039175;rs2480780;rs10779738;rs10864461;rs6681221;rs2988398;rs2506897;rs2506898;rs2480775;rs944191;rs4846230;rs2480773;rs12128630;rs2480772;rs2183377;rs2506900;rs6700023;rs4846231;rs4846232;rs10157111;rs10157119;rs10864463;rs35612158;rs10779739;rs11121584;rs4846233;rs4240915;rs11121585;rs7545184;rs11121589;rs6700886;rs61777207;rs10746495;rs58788814;rs7512467;rs61777208;rs12033275;rs114425920;rs72641424;rs12129678;rs10864465;rs11121596;rs11121597;rs1755594;rs616488;rs616402;rs617728;rs2506880;rs2480785;rs1411402;rs2483677;rs2056417;rs2026792;rs2506889;rs12375;rs2480777;rs2506892;rs2506896;rs2150038;rs67488812;rs17035305;rs12028449;rs11121587;rs34575776;rs4846235;rs112436634;1:10540898;rs568713909;1:10540916;rs585703;rs579398;rs628462;rs56006920;rs7512495;rs12139169;rs6674521;rs55913143;rs12117392;rs12120962;rs6688558;rs6696891;rs7555790;rs12127400;rs9660218;rs6676491;rs2086650;rs710130;rs9661121;rs7519424;rs35409029;1:10622976;rs12750901;rs6663688;rs6663898;rs11121593;rs6661757;rs12753364;rs10779743;rs10779744;rs12565494;rs34230252;rs7534954;rs7524790;rs12133103;rs4846237;rs6687502;rs6687622;rs6664134;rs7536149;rs6540937;rs6540938;rs6687430;rs12741973;rs12038548;rs12045923;rs72857041;rs11585893;rs59120752;rs61688801;rs79121089;rs74052149;rs284274;rs12047856;rs113048657;rs12567436;rs72857049;rs12090714;rs12087384;rs60101188;rs57853007;rs59790639;rs60257606;rs11578220;rs6540940;rs6540941;rs6668131;rs284273	1
ENSG00000268194	LINC01101	2	121221911	121223697	-1	protein_coding	84931	LINC01101	NA	NA	3	8.242	0.23163	rs1464820;rs2091255;rs11123554	2
ENSG00000155893	ACPL2	3	140947568	141013748	1	protein_coding	92370	ACPL2	0.215526325024235	0.901370973	2	8.511	0.774788	rs62281976;rs9809435	3
ENSG00000177311	ZBTB38	3	141043055	141168634	1	protein_coding	253461	ZBTB38	0.97949144936684	-1.877995699	89	19.99	1.59051e-15	rs9871963;3:141034217;rs13324219;rs6778010;rs4683600;rs9823785;rs9838625;rs6439999;rs1983233;rs2871887;rs13094525;rs6765238;rs4536797;rs75378591;rs4683598;rs4683599;rs6807533;rs72986540;rs72986545;rs76438269;rs4683602;rs77317110;rs1346408;rs6784404;rs9866391;rs7613516;rs6440001;rs1863868;rs4683603;rs6781636;rs7624084;rs6440003;rs6808936;rs6785012;rs1582874;rs78019542;rs77010587;rs4683605;rs6764769;rs9853018;rs6763931;rs724016;rs7632381;rs4683606;rs13068733;rs2871960;rs1344674;rs1991431;rs6440006;rs7650602;rs9846396;rs4683604;rs78606994;rs12054156;rs73872715;rs74817616;rs75290540;rs77425777;rs77216136;rs76999624;rs16851419;rs75296475;rs77232821;rs73872725;rs76983194;rs74888405;rs11919556;rs11919595;rs6440005;rs9858405;rs73872720;rs9825379;rs9869102;rs79217331;rs74557261;rs111518062;rs16851412;rs79928910;rs79474768;rs10513137;rs77828701;3:141143491;rs6762722;rs6762826;rs55715186;rs6440007;rs6802753;rs75220288;rs115037602	3
ENSG00000155329	ZCCHC10	5	132332677	132362296	-1	protein_coding	54819	ZCCHC10	0.16080191147859	-0.209780051	5	14.54	0.787703	rs10063390;rs7704739;rs7727879;rs7728365;rs7728125	4
