GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
84069        1     891872     920488      4       1  500199       1.1074      0.13407
84808        1     900579     927473      5       1  500199       1.3842     0.083151
57801        1     924342     946608     11       1  500199        1.703     0.044287
9636         1     938847     959920     14       1  500199       1.3765     0.084328
375790       1     945503    1001499     17       2  500199       1.1318      0.12886
401934       1     997126    1019687     20       2  500199       1.2949     0.097675
54991        1    1007198    1061736     98       6  500199     0.047179      0.48119
254173       1    1099286    1143315     33       4  500199     -0.71902      0.76394
8784         1    1128888    1152163     23       3  500199     -0.17287      0.56862
7293         1    1136706    1159703     40       2  500199      0.51779       0.3023
51150        1    1142288    1177447     84       2  500199      0.76963      0.22076
126792       1    1157629    1180421     71       2  500199      0.91463      0.18019
388581       1    1167826    1192102     29       2  500199       1.1448      0.12614
118424       1    1179292    1219234     29       4  500199       1.2362      0.10819
6339         1    1205816    1237409     22       3  500199       1.2448       0.1066
116983       1    1217764    1253304     11       2  500199      0.68859      0.24554
126789       1    1233962    1257057      7       1  500199      0.30295      0.38096
54973        1    1236965    1270067     17       2  500199       1.0313      0.15121
80772        1    1250136    1274276     14       2  500199       1.3931     0.081793
83756        1    1256726    1279844     15       2  500199       1.3984     0.081003
1855         1    1260658    1294509     23       2  500199       1.2239       0.1105
54587        1    1278071    1307183     54       4  500199      0.42993      0.33362
54998        1    1299110    1320818     62       5  500199      0.12442      0.45049
81669        1    1311091    1344718     52       5  500199      0.59799      0.27492
55052        1    1327276    1352693     33       4  500199      0.98026      0.16348
441869       1    1343800    1366824     23       2  500199      0.81681      0.20702
643965       1    1351508    1373167     14       2  500199      0.52353       0.3003
64856        1    1360903    1388262     10       2  500199     -0.16041      0.56372
219293       1    1368152    1415538      7       1  500199     -0.98173      0.83688
83858        1    1397139    1454852     17       2  500199      0.30741      0.37926
55210        1    1437523    1480067     40       4  500199      0.17339      0.43117
339453       1    1460158    1485740     29       4  500199      0.51745      0.30242
29101        1    1467053    1520262     59       4  500199      0.37259      0.35473
728642       1    1623822    1665999     23       2  500199     -0.27459      0.60819
9906         1    1646277    1687438     38       4  500199     -0.56999      0.71566
65220        1    1672671    1721508     50       5  500199     -0.90656      0.81768
2782         1    1706725    1832552    105       9  500199     -0.31665      0.62424
163688       1    1836266    1858733     65       7  500199      -1.1051      0.86544
339456       1    1839029    1860740     66       7  500199        -1.08      0.85992
85452        1    1843390    1945276    217      17  500199      -2.2192      0.98676
2563         1    1940768    1972192      4       1  500199      0.11196      0.45543
5590         1    1971909    2126834    266      13  500199    -0.033598       0.5134
100506504    1    2103250    2125812     23       3  500199      0.31198      0.37753
199990       1    2105899    2154159     48       7  500199    -0.042415      0.51692
6497         1    2150134    2251652    129      18  500199     -0.71399      0.76238
79906        1    2241719    2333190    180      25  500199       1.4806      0.06936
11079        1    2313214    2346883     46       9  500199      0.61545      0.26913
5192         1    2326241    2354010     29       5  500199      0.84235       0.1998
9651         1    2397754    2446964     62       6  500199       1.3783     0.084054
55229        1    2429975    2468061     58       4  500199       1.4585      0.07235
388585       1    2450184    2471684     22       3  500199       2.0555     0.019916
8764         1    2477291    2505268     34       2  500199      0.61703      0.26861
127281       1    2507899    2532908     53       3  500199      0.84815      0.19818
79258        1    2512078    2574499    112       3  500199      0.85579      0.19606
100287898    1    2562807    2716230     34       3  500199      0.49757      0.30939
140625       1    2928046    2949467     26       2  500199       1.0784      0.14043
63976        1    2975565    3365185    587      81  500199     -0.25244      0.59965
27237        1    3361147    3407677     68       6  500199     -0.78008      0.78233
1953         1    3394506    3538059    113      21  500199     -0.87867      0.81021
127262       1    3531556    3556695     42       5  500199     -0.80299      0.78901
49856        1    3537331    3576671     38       6  500199     -0.48685      0.68682
7161         1    3559129    3662765    141      24  500199     0.058346      0.47674
148870       1    3658965    3698209     75      11  500199     -0.52489      0.70017
388588       1    3679352    3702546     55       5  500199     -0.31886      0.62508
57470        1    3686784    3723068     84       9  500199     -0.23316      0.59218
9731         1    3718645    3783797    219      11  500199    -0.076608      0.53053
1677         1    3763845    3811993    163      18  500199     -0.17365      0.56893
339448       1    3795697    3826857     76       8  500199      0.91383       0.1804
55966        1    4705105    4853851    388      59  500199      0.98654      0.16193
