GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     849993     889961     79      12  130263       1.3767     0.084301
26155        1     869583     904679     59       7  130263       1.6003     0.054765
339451       1     885967     911099     51       8  130263       1.4867     0.068543
84069        1     891872     920488     60      12  130263       0.7291      0.23297
84808        1     900579     927473     67      13  130263     -0.49913      0.69116
57801        1     924342     946608     43       6  130263        -1.67      0.95254
9636         1     938847     959920     33       4  130263      -2.0067      0.97761
375790       1     945503    1001499     56       7  130263      -1.5224      0.93604
401934       1     997126    1019687     31       3  130263      0.35068      0.36291
54991        1    1007198    1061736    106       8  130263     -0.25525      0.60073
254173       1    1099286    1143315    130      17  130263     -0.27966      0.61013
8784         1    1128888    1152163     62       8  130263     -0.23928      0.59455
7293         1    1136706    1159703     67       6  130263      0.43081       0.3333
51150        1    1142288    1177447    112       6  130263      0.56974      0.28443
126792       1    1157629    1180421     79       3  130263      0.72849      0.23316
388581       1    1167826    1192102     34       3  130263       1.1675      0.12151
118424       1    1179292    1219234     40       7  130263       0.8368      0.20135
6339         1    1205816    1237409     45       8  130263     -0.21784      0.58622
116983       1    1217764    1253304     37       6  130263      0.53565       0.2961
126789       1    1233962    1257057     20       3  130263       0.8225       0.2054
54973        1    1236965    1270067     39       4  130263      0.90535      0.18264
80772        1    1250136    1274276     31       3  130263      0.78818       0.2153
83756        1    1256726    1279844     34       3  130263      0.92178      0.17832
1855         1    1260658    1294509     47       4  130263      0.95699      0.16929
54587        1    1278071    1307183     66       6  130263      0.99397      0.16012
54998        1    1299110    1320818     63       6  130263      0.98116      0.16326
81669        1    1311091    1344718     50       5  130263      0.72513      0.23419
55052        1    1327276    1352693     32       4  130263      0.58501      0.27927
441869       1    1343800    1366824     42       4  130263     -0.15017      0.55969
643965       1    1351508    1373167     34       4  130263     -0.17888      0.57099
64856        1    1360903    1388262     33       7  130263      0.48755      0.31294
219293       1    1368152    1415538     41       8  130263       1.0936      0.13708
83858        1    1397139    1454852     33       5  130263       1.6543     0.049035
55210        1    1437523    1480067     43       5  130263       1.6134     0.053326
339453       1    1460158    1485740     33       5  130263       1.6258     0.051999
29101        1    1467053    1520262     63       6  130263       1.8175     0.034574
643988       1    1523388    1545476     33       5  130263       0.9841      0.16253
142678       1    1540795    1575990     41       6  130263       2.2297     0.012884
8510         1    1557060    1580030     16       3  130263       2.7355    0.0031146
984          1    1561100    1600473     29       4  130263       2.6625    0.0038782
728661       1    1581486    1634243     53       8  130263       2.1957     0.014058
728642       1    1623822    1665999     39       3  130263       1.7686      0.03848
9906         1    1646277    1687438     45       5  130263       1.0445      0.14812
65220        1    1672671    1721508     52       5  130263      0.92975      0.17625
2782         1    1706725    1832552     95       8  130263       1.7675      0.03857
163688       1    1836266    1858733     60       6  130263       2.0677     0.019333
339456       1    1839029    1860740     61       6  130263       1.8717     0.030625
85452        1    1843390    1945276    273      19  130263       3.1638   0.00077852
2563         1    1940768    1972192     48       5  130263      0.88601      0.18781
5590         1    1971909    2126834    287      17  130263       2.5889    0.0048136
100506504    1    2103250    2125812     23       3  130263       2.9305    0.0016923
199990       1    2105899    2154159     50       7  130263       2.9478    0.0016002
6497         1    2150134    2251652    160      25  130263       1.2099      0.11316
79906        1    2241719    2333190    232      34  130263      0.37937       0.3522
11079        1    2313214    2346883     60      13  130263       1.4219     0.077528
5192         1    2326241    2354010     59      12  130263       1.6639     0.048063
9651         1    2397754    2446964     77      10  130263       3.0587    0.0011115
55229        1    2429975    2468061     59       5  130263       1.2256      0.11018
388585       1    2450184    2471684     22       3  130263      0.37632      0.35334
8764         1    2477291    2505268     30       2  130263      0.56403      0.28637
127281       1    2507899    2532908     47       3  130263       1.7857     0.037073
79258        1    2512078    2574499    103       3  130263       1.7295     0.041863
100287898    1    2562807    2716230     35       3  130263        1.137      0.12776
140625       1    2928046    2949467     26       2  130263     -0.43029      0.66651
63976        1    2975565    3365185    698      97  130263       2.9021    0.0018532
27237        1    3361147    3407677     73       7  130263      0.67011      0.25139
1953         1    3394506    3538059    293      50  130263     -0.21178      0.58386
127262       1    3531556    3556695     44       5  130263       1.6532     0.049148
49856        1    3537331    3576671     40       7  130263         1.29     0.098529
7161         1    3559129    3662765    195      34  130263     0.067807      0.47297
148870       1    3658965    3698209     77      12  130263      0.10664      0.45754
388588       1    3679352    3702546     58       6  130263      0.03811       0.4848
57470        1    3686784    3723068     83       9  130263      0.36248       0.3585
9731         1    3718645    3783797    208      12  130263       1.0119       0.1558
1677         1    3763845    3811993    165      19  130263       0.7489      0.22696
339448       1    3795697    3826857     79       8  130263       1.6391     0.050595
55966        1    4705105    4853851    385      60  130263      0.72629      0.23383
261734       1    5912870    6062618    224      12  130263       -1.253       0.8949
8514         1    6042358    6171253    178      29  130263      0.23408      0.40746
26038        1    6151847    6250194    185      24  130263     -0.34159      0.63367
6146         1    6235080    6269679     45       6  130263      0.52139      0.30105
388591       1    6256189    6291359     46       7  130263      0.79061      0.21459
23463        1    6271253    6306044     40       5  130263     -0.32469      0.62729
390992       1    6294252    6315638     24       3  130263      -1.5386      0.93805
387509       1    6297406    6331035     42       4  130263      -1.0779      0.85946
11332        1    6314332    6463826    284      15  130263      0.23701      0.40633
54626        1    6465292    6494724     60       6  130263      0.49028      0.31197
83715        1    6474836    6531004     65       7  130263        1.089      0.13807
8718         1    6510787    6537432      8       1  130263       2.4152    0.0078634
57449        1    6516152    6590121     95      13  130263       1.1882      0.11738
79707        1    6571407    6624658    110       3  130263      0.19979      0.42082
80835        1    6604987    6649817     67       5  130263       1.1551      0.12403
3104         1    6630051    6659340     29       7  130263       3.8118   6.8975e-05
