chr begin_pos stop_pos stat pval qval
1 155033572 155205331 32.3788108476667 0.0031993601279744 0.0364979635651817
3 27093074 27602032 -35.8806417595384 0.00339932013597281 0.0364979635651817
4 151062878 151490711 16.3572440090452 0.00339932013597281 0.0364979635651817
5 74331528 75041561 91.6656232904985 0.00419916016796641 0.0407918416316737
6 130309561 130438612 41.2748351522249 0.000799840031993601 0.018040836277189
7 130423972 130467272 -19.4727203967551 0.0015996800639872 0.0251026717733376
7 130599301 130674215 -20.0287660669669 0.0013997200559888 0.0236785976138106
8 59307275 59580354 40.6008889109978 0.000799840031993601 0.018040836277189
8 116635942 116855813 30.0087320802414 0.000599880023995201 0.018040836277189
8 126472999 126488930 -59.526856548568 0.000599880023995201 0.018040836277189
9 22069144 22127879 28.7292584225954 0.0025994801039792 0.0353529294141172
9 107625803 107678916 24.9857264510146 0.0013997200559888 0.0236785976138106
10 64763588 65408167 -27.9951623563971 0.000799840031993601 0.018040836277189
11 1874292 2027064 39.9023711529523 0.000599880023995201 0.018040836277189
11 18489360 18690446 30.4214207207825 0.000999800039992002 0.0202959408118376
11 61535146 61621194 27.6638959209627 0.000599880023995201 0.018040836277189
11 116576400 117102307 -34.9240555708098 0.00399920015996801 0.0407918416316737
12 121384495 121468863 -43.2110981157967 0.0025994801039792 0.0353529294141172
15 74513228 75989884 25.6023784942788 0.0031993601279744 0.0364979635651817
15 91404705 91567985 30.6839802186339 0.000399920015996801 0.018040836277189
19 19372150 19734164 -101.656676431512 0.0001999600079984 0.018040836277189
