GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     849993     889961    173      29  933970     -0.82805      0.79618
26155        1     869583     904679    128      20  933970     -0.18027      0.57153
339451       1     885967     911099    104      20  933970     -0.18435      0.57313
84069        1     891872     920488    112      26  933970     -0.45402      0.67509
84808        1     900579     927473    105      21  933970     -0.64447      0.74037
57801        1     924342     946608     87      12  933970       -1.661      0.95164
9636         1     938847     959920     76      13  933970     -0.89535       0.8147
375790       1     945503    1001499    239      34  933970     -0.93607      0.82538
401934       1     997126    1019687     68      11  933970     -0.45984      0.67718
54991        1    1007198    1061736    208      22  933970       2.2969     0.010812
254173       1    1099286    1143315    214      30  933970      0.57291      0.28335
8784         1    1128888    1152163     97      15  933970      0.97496      0.16479
7293         1    1136706    1159703    112      14  933970       1.5072     0.065881
51150        1    1142288    1177447    189      15  933970       1.5232     0.063852
126792       1    1157629    1180421    127       9  933970       1.4021     0.080441
388581       1    1167826    1192102     88      14  933970      0.26584      0.39518
118424       1    1179292    1219234    151      22  933970       1.4418     0.074684
6339         1    1205816    1237409    129      24  933970       1.8953     0.029026
116983       1    1217764    1253304    119      27  933970       1.0454      0.14791
126789       1    1233962    1257057     69      17  933970      0.92158      0.17837
54973        1    1236965    1270067    108      20  933970       1.4486     0.073724
80772        1    1250136    1274276     87      18  933970       1.5441     0.061277
83756        1    1256726    1279844     86      17  933970       1.5232     0.063858
1855         1    1260658    1294509    121      18  933970       1.5389     0.061917
54587        1    1278071    1307183    123      15  933970       1.1286      0.12954
54998        1    1299110    1320818    120      15  933970       1.2177      0.11168
81669        1    1311091    1344718    106      16  933970       1.5534     0.060159
55052        1    1327276    1352693     73      12  933970       1.0982      0.13607
441869       1    1343800    1366824     88      12  933970       1.1199      0.13139
643965       1    1351508    1373167     78      13  933970       0.8748      0.19084
64856        1    1360903    1388262     85      15  933970     -0.28093      0.61062
219293       1    1368152    1415538    131      23  933970      0.16576      0.43417
83858        1    1397139    1454852    156      22  933970      0.57102      0.28399
55210        1    1437523    1480067    117      20  933970     0.035929      0.48567
339453       1    1460158    1485740     87      18  933970     -0.30274      0.61896
29101        1    1467053    1520262    177      20  933970      -1.5698      0.94177
643988       1    1523388    1545476     57      11  933970       1.6985     0.044705
142678       1    1540795    1575990     60      10  933970       1.7453     0.040465
8510         1    1557060    1580030     22       6  933970       1.8969     0.028922
984          1    1561100    1600473     43       8  933970       1.7108     0.043559
728661       1    1581486    1634243     84      17  933970      0.84623      0.19871
728642       1    1623822    1665999     65      10  933970      -0.3452      0.63503
9906         1    1646277    1687438     92      16  933970     -0.42995      0.66638
65220        1    1672671    1721508    114      18  933970     -0.35583      0.63902
2782         1    1706725    1832552    221      33  933970     -0.12389       0.5493
163688       1    1836266    1858733     80      11  933970     -0.37179      0.64498
339456       1    1839029    1860740     79      10  933970     -0.37417      0.64586
85452        1    1843390    1945276    441      38  933970     -0.64637      0.74098
2563         1    1940768    1972192    115      22  933970     -0.91426      0.81971
5590         1    1971909    2126834    663      51  933970      0.14391      0.44279
100506504    1    2103250    2125812     59      18  933970      0.95136      0.17071
199990       1    2105899    2154159    132      34  933970       1.2947     0.097709
6497         1    2150134    2251652    347      59  933970       3.1049   0.00095173
79906        1    2241719    2333190    422      60  933970      0.80154      0.21141
11079        1    2313214    2346883    122      34  933970       1.0616       0.1442
5192         1    2326241    2354010    116      33  933970      0.79607        0.213
9651         1    2397754    2446964    195      41  933970      0.51376      0.30371
55229        1    2429975    2468061    157      27  933970     -0.35764      0.63969
388585       1    2450184    2471684     83      23  933970     -0.75082      0.77362
8764         1    2477291    2505268     81      13  933970     -0.99506      0.84015
127281       1    2507899    2532908    100      12  933970    -0.085614      0.53411
79258        1    2512078    2574499    244      20  933970     0.082569       0.4671
100287898    1    2562807    2716230    146      20  933970      0.57486      0.28269
140625       1    2928046    2949467     94      17  933970      0.24819      0.40199
63976        1    2975565    3365185   1969     215  933970       1.2266      0.10999
27237        1    3361147    3407677    197      24  933970     -0.25019      0.59878
1953         1    3394506    3538059    717     110  933970     -0.28672      0.61284
127262       1    3531556    3556695    111      20  933970      -1.2447      0.89337
49856        1    3537331    3576671    136      29  933970      -1.6154      0.94689
7161         1    3559129    3662765    423      77  933970      -1.2422      0.89292
148870       1    3658965    3698209    202      39  933970      0.39588       0.3461
388588       1    3679352    3702546    155      24  933970      0.24645      0.40267
57470        1    3686784    3723068    221      29  933970      0.12798      0.44908
9731         1    3718645    3783797    438      25  933970     -0.82341      0.79486
1677         1    3763845    3811993    340      40  933970     -0.77942      0.78213
339448       1    3795697    3826857    171      26  933970       0.1623      0.43553
55966        1    4705105    4853851    844      93  933970      -1.1489      0.87471
261734       1    5912870    6062618    615      32  933970     -0.65857      0.74492
8514         1    6042358    6171253    475      73  933970     -0.31775      0.62466
26038        1    6151847    6250194    375      45  933970      0.57047      0.28418
6146         1    6235080    6269679     95      18  933970      0.32675      0.37193
388591       1    6256189    6291359    114      20  933970      -1.5545      0.93997
23463        1    6271253    6306044    107      19  933970      -1.4573      0.92748
390992       1    6294252    6315638     58      13  933970     -0.34109      0.63348
387509       1    6297406    6331035    108      17  933970     -0.46759      0.67996
11332        1    6314332    6463826    630      37  933970      0.55296      0.29015
54626        1    6465292    6494724    121      15  933970      0.32711      0.37179
83715        1    6474836    6531004    195      24  933970      0.95849      0.16891
8718         1    6510787    6537432     80      19  933970       1.0853      0.13889
57449        1    6516152    6590121    261      40  933970       1.9093     0.028112
79707        1    6571407    6624658    230      15  933970       1.4094     0.079365
80835        1    6604987    6649817    166      22  933970       1.2951     0.097644
3104         1    6630051    6659340     83      29  933970       3.7107   0.00010333
9903         1    6640784    6672958     79      22  933970       4.3836   5.8363e-06
148479       1    6663756    6694093     69      15  933970        4.666   1.5355e-06
90326        1    6674925    6705646     88      18  933970       4.3288   7.4955e-06
55735        1    6684228    6771966    235      29  933970       4.4383   4.5345e-06
23261        1    6835384    7839766   3499     263  933970       1.4738     0.070272
9341         1    7821329    7851492     97      21  933970     -0.97315      0.83476
8863         1    7834413    7915241    332      33  933970     -0.71146       0.7616
10911        1    7897672    7923551    115      25  933970        0.597      0.27526
3604         1    7965931    8013225    127      22  933970       1.5439     0.061311
11315        1    8011714    8055342    113      20  933970       3.1846   0.00072483
54206        1    8061779    8096393     70      13  933970        3.175   0.00074928
50651        1    8368171    8414227    162      29  933970       -2.255      0.98793
473          1    8402464    8887699    910      40  933970      0.18946      0.42487
2023         1    8911059    8949151     94      18  933970      -1.6463      0.95014
765          1    8995893    9045151    221      53  933970      -1.6289      0.94833
155184       1    9053359    9096404    195      45  933970     -0.33075      0.62958
6518         1    9087005    9141763    227      32  933970     -0.22314      0.58829
80045        1    9153472    9199229    172      31  933970    -0.055371      0.52208
9563         1    9284822    9341396    228      36  933970       1.8979     0.028855
80176        1    9325202    9439591    612      89  933970        0.411      0.34054
84275        1    9589528    9652831    154      23  933970      0.11333      0.45488
199953       1    9638932    9684935    105      18  933970      0.91296      0.18063
5293         1    9701789    9799172    340      50  933970      0.69574       0.2433
22883        1    9779079    9894550    417      23  933970       2.1226     0.016893
56998        1    9898334    9980316    221      40  933970     -0.26543      0.60466
84328        1    9972168   10013460    109      21  933970      0.91109      0.18112
64802        1    9993486   10055556    158      28  933970       1.6353     0.050996
116362       1   10047255   10086078     93      13  933970       2.3991    0.0082172
10277        1   10083041   10251297    469      31  933970       2.8946    0.0018982
23095        1   10260606   10451664    652      21  933970       2.5532    0.0053376
5226         1   10448884   10490565    134      21  933970       1.2144       0.1123
378708       1   10479944   10520239    125      18  933970     -0.12343      0.54912
100526739    1   10480159   10522060    131      19  933970     -0.12299      0.54894
1325         1   10499776   10522060     50      12  933970     -0.34027      0.63317
1676         1   10510588   10542613     70      16  933970      0.57115      0.28395
5195         1   10525003   10700815    504      42  933970       1.0994      0.13579
54897        1   10686661   10866733    623     106  933970     -0.27487      0.60829
148345       1   10996530   11052094    262      34  933970      -2.1103      0.98258
23435        1   11062462   11095549    100      15  933970       1.5648      0.05881
10747        1   11076580   11117296    107      16  933970       2.0059     0.022432
6723         1   11104649   11130091     73      10  933970       3.2942   0.00049343
5394         1   11116675   11169961    164      10  933970       2.5662    0.0051404
2475         1   11156588   11332614    430      15  933970       2.8074    0.0024975
10218        1   11239346   11266038     55       6  933970       2.1943     0.014107
29914        1   11323255   11358491     63      10  933970       2.6113    0.0045099
57540        1   11529295   11607640    245      27  933970    -0.036223      0.51445
26232        1   11697924   11724888     99      35  933970      -1.0484      0.85277
93611        1   11704432   11733384    115      36  933970      -1.9889      0.97664
26270        1   11714150   11744411    120      26  933970      -2.4563      0.99298
10459        1   11724537   11761678    145      33  933970      -1.7147       0.9568
374946       1   11741781   11790336    175      43  933970     -0.46962      0.68069
57085        1   11786142   11820828    120      24  933970      0.81737      0.20686
284498       1   11813827   11859642    234      23  933970       1.5993     0.054881
4524         1   11835787   11876160    243      19  933970        1.452     0.073256
1185         1   11856153   11913201    331      22  933970       1.7507         0.04
4878         1   11895766   11917840    120      22  933970       1.6058     0.054161
4879         1   11907521   11928992    104      23  933970      0.88114      0.18912
90231        1   11969645   11996485    114      22  933970    -0.099633      0.53968
5351         1   11984724   12045599    205      27  933970       1.4602     0.072123
9927         1   12030238   12083572    163      22  933970       1.5581     0.059601
60672        1   12069299   12102106     88      20  933970       2.3665    0.0089788
943          1   12113434   12214264    335      67  933970     -0.44322       0.6712
7133         1   12217044   12279279    222      37  933970     -0.41433      0.66069
55187        1   12280101   12582099    751      34  933970      0.13899      0.44473
9249         1   12617939   12687820    318      49  933970       1.9623     0.024862
343066       1   12694566   12737097    171      23  933970      -1.0294      0.84836
126767       1   12766118   12798726    125      19  933970      0.23723      0.40624
93190        1   12796163   12831102    133      16  933970     -0.65639      0.74421
390999       1   12824984   12848049     61      15  933970      -0.5593      0.71202
65121        1   12841546   12866777     88      17  933970      0.64261      0.26024
440560       1   12874468   12901264     73      14  933970       1.1453      0.12605
343069       1   12897261   12918578    115       6  933970       1.3665     0.085893
65122        1   12906941   12931764     94       6  933970        1.294     0.097841
400735       1   12929033   12956025      4       2  933970      0.61463       0.2694
343071       1   12942727   12968094      3       2  933970      0.30587      0.37985
441873       1   13130447   13155000      2       1  933970      0.91286      0.18066
440563       1   13172960   13194326     63      10  933970     -0.88826       0.8128
343068       1   13349819   13379057      1       1  933970     0.061451       0.4755
391002       1   13376646   13400765      1       1  933970      0.51923       0.3018
391003       1   13464053   13487569      1       1  933970        0.461       0.3224
654348       1   13485254   13508260      1       1  933970       0.9625       0.1679
645414       1   13684889   13708405      1       1  933970      -1.0442       0.8518
126755       1   13791445   13850242    325      61  933970       0.1116      0.45557
10630        1   13900252   13954452    259      50  933970     -0.55268      0.70976
7799         1   14016714   14161574    522      45  933970      0.30725      0.37933
23254        1   14209646   15454544   5781     412  933970      0.96541      0.16717
55092        1   15469028   15556974    512      35  933970       -1.876      0.96967
727684       1   15480692   15508120    129      20  933970      -2.1256      0.98323
114827       1   15563730   15734767    724      89  933970       1.5662     0.058648
79180        1   15726391   15766839    154      41  933970       1.1854      0.11793
11330        1   15754938   15783153     87      21  933970    0.0068382      0.49727
63036        1   15773223   15808586    140      29  933970       0.8732      0.19128
51032        1   15792596   15827895    158      25  933970     0.047142       0.4812
842          1   15807896   15861407    227      18  933970  -0.00026728      0.50011
23341        1   15843343   15908228    187      17  933970      0.46234      0.32192
79814        1   15888194   15921605    148      14  933970       1.3892     0.082383
84301        1   15933953   16005539    177      12  933970       2.4867    0.0064476
6248         1   15976364   15998217     43       5  933970       2.2821     0.011242
23207        1   16000632   16071264    222      22  933970        2.698     0.003488
284723       1   16052721   16077884     70      16  933970       1.1074      0.13407
388595       1   16058987   16084292     82      18  933970       1.0054      0.15734
54751        1   16073107   16123089    181      32  933970      0.70876      0.23924
440567       1   16123657   16144194    104      12  933970       2.4454    0.0072355
23013        1   16164359   16276951    263      24  933970       1.4163     0.078341
7709         1   16258364   16312627    117      23  933970        1.808     0.035303
101928566    1   16292626   16333701    188      23  933970       1.4779     0.069712
149563       1   16320731   16343184    146      19  933970       1.4816     0.069226
27129        1   16330523   16356084    150      18  933970       2.1906     0.014241
1187         1   16338486   16370548    200      24  933970       2.7495    0.0029846
1188         1   16360231   16393821    222      30  933970       1.8032     0.035675
348487       1   16374264   16410127    174      23  933970       1.6362     0.050902
1969         1   16440832   16492582    127      27  933970       2.0248     0.021446
128272       1   16514599   16549104    125      14  933970      0.32812      0.37141
101927546    1   16541343   16563528     63      10  933970      0.98009      0.16352
