ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000185920	PTCH1	9	98205262	98279339	-1	protein_coding	5727	PTCH1	0.999998857309533	0.305978336	102	22.7	0.000224294	rs28701981;rs2236406;rs28495472;rs2236407;rs2297086;rs2297088;rs2282042;rs28557305;rs28504650;rs10512248;rs28457763;rs28629854;rs16909919;rs4448343;rs28620668;rs1355620;rs1355619;rs28536201;rs28591501;rs3824487;rs17368876;rs28377268;rs867452;rs28493225;rs28494679;rs28535536;rs59015093;rs16909892;rs28711421;rs16909898;rs56149656;rs28706464;rs28733891;rs28535421;rs16909902;rs16909904;rs1805155;rs3780573;rs28448271;rs28520225;rs28446116;rs28372566;rs28474857;rs28673156;rs2282040;rs2282041;rs28418339;rs10512249;rs60417486;rs60150206;rs28427480;rs16909922;rs145965565;rs75614054;rs113154802;rs28469297;rs80317870;rs78843682;rs76062908;rs28571635;rs16905572;rs61076166;rs16909964;rs16909967;rs74607569;rs111336625;rs113851275;rs78007483;rs73529860;rs76709848;rs28520360;rs28372466;rs16909923;rs16909927;rs16909930;rs28698544;rs28682502;rs57594450;rs57793730;rs61660304;rs60529258;rs16909975;rs73654567;rs28394554;rs2274693;rs28702657;rs28442014;rs62558340;rs2066836;rs2277184;rs2274694;rs2297087;rs28488553;rs17369383;rs28504341;rs28411363;rs57305472;rs28831479;rs28735184;rs28633576;rs56119276;rs28393820;rs28468571;rs3758301;rs28412122;rs28410513;rs28705285;rs28536742;rs28384095;rs28361526;rs28778940;rs28489106;rs28535514;rs16909970;rs16909974;rs2405373;rs34608134;rs28455201;rs57560832;rs118043221;rs28716262;rs28434654;rs35550423	1
ENSG00000108175	ZMIZ1	10	80828792	81076276	1	protein_coding	57178	ZMIZ1	0.999743700872505	-0.003623491	160	18.47	2.81227e-37	rs7067958;rs7086247;rs35439188;rs12263636;rs4980022;rs4980021;rs10824713;rs6480918;rs1658329;rs10762842;rs7082178;rs12221177;rs12412705;rs16936800;rs704010;rs1250009;rs1250008;rs1250005;rs1250003;rs1250000;rs1249998;rs719338;rs1268974;rs873823;rs754416;rs7091873;rs7920460;rs56358128;rs56094678;rs55869157;rs55722978;rs55872506;rs4980027;rs72816227;rs7916950;rs66534009;rs7909146;rs4980024;rs12359051;rs4980028;rs4979843;rs12782529;rs11002807;rs1124441;rs1124440;rs1124439;rs11002809;rs704011;rs1250007;rs1250004;rs1250002;rs704008;rs704007;rs704006;rs1269867;rs10762844;rs704009;rs1538228;rs2012869;rs2077266;rs11002810;rs7922498;rs1250013;rs753271;rs946716;rs1250011;rs4564274;rs11595891;rs11002812;rs10824715;rs79357024;rs35861839;rs10824714;rs11002811;rs11002813;rs11002814;rs11002815;rs11002819;rs880031;rs7074838;rs7079181;rs35678649;rs16936863;rs17557872;rs11002825;rs11002826;rs7083272;rs10824716;rs11002820;rs10762845;rs56038371;rs881407;rs881406;rs6480919;rs11598107;rs7086436;rs10824717;rs12256982;rs16936856;rs11597192;rs946009;rs10824718;rs61853172;rs56019917;rs7086204;rs7086384;rs6480920;rs2486695;rs1628089;rs1765880;rs1658324;rs11818019;rs1658323;rs704005;rs4336976;rs10824719;rs7903880;rs11002831;rs11002833;rs11002834;rs11002835;rs7068624;rs11002837;rs11002838;rs11002839;rs11002840;rs704004;rs1658322;rs1866159;rs1866158;rs1866157;rs6480921;rs10762848;rs60000259;rs10762849;rs10762850;rs4980029;rs4980030;rs7903793;rs7904249;rs7921002;rs10762851;rs7097066;rs75167266;rs74385409;rs72816252;rs4979845;rs4980031;rs58567997;rs11002846;rs12572275;rs16936901;rs16936904;rs7070204;rs4980032;rs780157;rs780156;rs780159;rs35339173;rs10824722	3
ENSG00000066468	FGFR2	10	123237848	123357972	-1	protein_coding	2263	FGFR2	0.999752493022751	NA	28	21.9	1.66880539388e-308	rs17542768;rs45631627;rs45631580;rs45631581;rs45631630;rs45631582;rs7899765;rs41258305;rs2912778;rs2981578;rs2860197;rs2420946;rs2162540;rs2981582;rs3135718;rs11200017;rs17102287;rs3135724;rs3135715;rs45631583;rs7091736;rs2912775;rs1219644;rs1219643;rs41301551;rs7919434;rs7919566;rs4478918	4
ENSG00000140564	FURIN	15	91411822	91426688	1	protein_coding	5045	FURIN	0.999933300929352	-0.156379719	40	17.36	1.01316e-06	rs4932370;rs4932371;rs4932177;rs4932372;rs8029440;rs4932178;rs8027450;rs1573643;rs1573644;rs6227;rs12906125;rs1894400;rs7497304;rs4932373;rs7168951;rs7167085;rs7497418;rs3759929;rs75554891;rs17514846;rs8039305;rs6224;rs4702;rs2071382;rs11539637;rs7183988;rs7177338;rs1894401;rs59596774;rs60994696;rs75493298;rs79865852;rs6496735;rs7402461;rs7402187;rs2071383;rs2071384;rs4932179;rs4932374;rs4548831	5
ENSG00000182511	FES	15	91426925	91439006	1	protein_coding	2242	FES	2.77390387287312e-05	NA	28	17.36	1.01316e-06	rs59596774;rs60994696;rs75493298;rs79865852;rs6496735;rs7402461;rs7402187;rs2071383;rs4932370;rs4932371;rs4932177;rs4932372;rs8029440;rs4932178;rs8027450;rs1573643;rs1573644;rs6227;rs12906125;rs1894400;rs7497304;rs4932373;rs17514846;rs8039305;rs6224;rs4702;rs2071382;rs11539637;rs7183988;rs7177338;rs1894401;rs2071384;rs4932179;rs4932374;rs4548831	5
ENSG00000166446	CDYL2	16	80631803	80838226	-1	protein_coding	124359	CDYL2	0.624960005081721	NA	20	15.3	1.42158e-30	rs9940301;rs9933302;rs7187794;rs2060861;rs7404848;rs11150296;rs10468364;rs12446424;rs2316184;rs896625;rs7500067;rs7499149;rs8056731;rs13329835;rs879843;rs4315348;rs57703295;rs59338992;rs13330873;rs13330920	6
ENSG00000175489	LRRC25	19	18501954	18508427	-1	protein_coding	126364	LRRC25	0.943472206020923	1.253818449	15	7.702	3.71932e-18	rs3859570;rs11086109;rs1560117;rs1985157;rs11668719;rs11086108;rs11671540;rs1002640;rs8112969;rs10421074;rs12971295;rs13344313;rs9749546;rs10424080;rs35336015;rs11086110;rs7255936;rs8100343;rs34213500;rs8111824;rs12982295;rs28534973;rs13382142;rs4808800	7
ENSG00000130511	SSBP4	19	18529674	18545372	1	protein_coding	170463	SSBP4	0.96165888216155	NA	35	16.1	1.11923e-28	rs11671540;rs1002640;rs8112969;rs35336015;rs11086110;rs7255936;rs10402247;rs8100343;rs34213500;rs8111824;rs12982295;rs28534973;rs888669;rs35742476;rs2303692;rs10423802;rs11879757;rs7246788;rs10413922;rs35004712;rs7247540;rs4808803;rs4808805;rs11672385;rs8111397;rs7259135;rs8102717;rs4808807;rs11668704;rs4808808;rs10416993;rs11670392;rs7256530;rs7249760;rs10409346;rs10409408;rs7251640;rs10410797;rs1469412;rs1469413;rs6512269;rs6512270;rs4580317;rs10418331;rs4808812;rs6512271;rs8112859;rs8112372;rs8106332;rs8106068;rs57923655;rs4808813;rs8104247;rs4006662;rs4303657;rs34509804;rs7257932;rs28375303;rs7258465;rs10405636;rs34746918;rs11673604;rs10408290;rs10409003;rs3810429;rs10442;rs2385088;rs2303697;rs10413237;rs2303696;rs10427083;rs28572537;rs1043327;rs34053595;rs8111708;rs34171762;rs748609;rs2303695;rs10405479;rs8107367;rs8107743;rs8103660;rs1806980;rs2007981;rs10164323;rs10164319;rs1560118;rs4808801;rs8103622;rs1560119;rs10419404;rs4808804;rs7256534;rs8100767;rs7254249;rs8105994;rs10403249;rs10411009;rs34256197;rs7249020;rs7251653;rs4808133;rs4808134;rs875396;rs7252707;rs8107347;rs8107351;rs8109573;rs4808136;rs271629;rs271628;rs271626;rs271624;rs271623;rs271622;rs76195;rs59776490;rs79355165;rs77488050;rs8102195;rs75581575;rs79557920;rs74701207;rs113465793;rs2303693;rs2303694;rs79257623;rs8103520;rs78061871;rs76184771;rs79888481;rs75445489;rs111682204;rs74497531;rs77571703;rs75245298;rs78855479;rs75681761;rs8107222;rs79341622;rs7251067;rs78036311;rs74389203;rs8101992;rs7246328;rs77543386	7
ENSG00000105655	ISYNA1	19	18545198	18549111	-1	protein_coding	51477	ISYNA1	0.00263929952719535	NA	23	16.1	1.74173e-28	rs11671540;rs1002640;rs8112969;rs35336015;rs11086110;rs7255936;rs10402247;rs8100343;rs34213500;rs8111824;rs12982295;rs28534973;rs888669;rs35742476;rs2303692;rs10423802;rs11879757;rs7246788;rs10413922;rs35004712;rs7247540;rs4808803;rs4808805;rs11672385;rs8111397;rs7259135;rs8102717;rs4808807;rs11668704;rs4808808;rs10416993;rs11670392;rs7256530;rs7249760;rs10409346;rs10409408;rs7251640;rs10410797;rs1469412;rs1469413;rs6512269;rs6512270;rs4580317;rs10418331;rs4808812;rs6512271;rs8112859;rs8112372;rs8106332;rs8106068;rs57923655;rs4808813;rs8104247;rs4006662;rs4303657;rs34509804;rs7257932;rs28375303;rs7258465;rs10405636;rs34746918;rs11673604;rs10408290;rs10409003;rs3810429;rs10442;rs2385088;rs2303697;rs10413237;rs2303696;rs10427083;rs28572537;rs1043327;rs34053595;rs8111708;rs34171762;rs748609;rs2303695;rs10405479;rs8107367;rs8107743;rs8103660;rs1806980;rs2007981;rs10164323;rs10164319;rs1560118;rs4808801;rs8103622;rs1560119;rs10419404;rs4808804;rs7256534;rs8100767;rs7254249;rs8105994;rs10403249;rs10411009;rs34256197;rs7249020;rs7251653;rs4808133;rs4808134;rs875396;rs7252707;rs8107347;rs8107351;rs8109573;rs4808136;rs271629;rs271628;rs271626;rs271624;rs271623;rs271622;rs76195;rs79355165;rs77488050;rs8102195;rs75581575;rs79557920;rs74701207;rs113465793;rs2303693;rs2303694;rs79257623;rs8103520;rs78061871;rs76184771;rs79888481;rs75445489;rs111682204;rs74497531;rs77571703;rs75245298;rs78855479;rs75681761;rs8107222;rs79341622;rs7251067;rs78036311;rs74389203;rs8101992;rs7246328;rs77543386	7
ENSG00000105656	ELL	19	18553473	18632937	-1	protein_coding	8178	ELL	0.940941238331597	-0.635599911	117	16.1	4.77247e-29	rs34509804;rs7257932;rs28375303;rs7258465;rs10405636;rs34746918;rs11673604;rs10408290;rs10409003;rs3810429;rs10442;rs2385088;rs2303697;rs10413237;rs2303696;rs10427083;rs28572537;rs1043327;rs34053595;rs8111708;rs34171762;rs748609;rs2303695;rs10405479;rs8107367;rs8107743;rs8103660;rs1806980;rs2007981;rs10164323;rs10164319;rs1560118;rs4808801;rs8103622;rs1560119;rs10419404;rs4808804;rs7256534;rs8100767;rs7254249;rs8105994;rs10403249;rs10411009;rs34256197;rs7249020;rs7251653;rs4808133;rs4808134;rs875396;rs7252707;rs8107347;rs8107351;rs8109573;rs4808136;rs271629;rs271628;rs271626;rs271624;rs271623;rs271622;rs76195;rs79355165;rs77488050;rs8102195;rs75581575;rs79557920;rs74701207;rs113465793;rs2303693;rs2303694;rs79257623;rs8103520;rs78061871;rs76184771;rs79888481;rs75445489;rs111682204;rs74497531;rs77571703;rs75245298;rs78855479;rs75681761;rs8107222;rs79341622;rs7251067;rs78036311;rs74389203;rs8101992;rs7246328;rs77543386;rs35336015;rs11086110;rs7255936;rs10402247;rs8100343;rs34213500;rs8111824;rs12982295;rs28534973;rs888669;rs35742476;rs2303692;rs10423802;rs11879757;rs7246788;rs10413922;rs35004712;rs7247540;rs4808803;rs4808805;rs11672385;rs8111397;rs7259135;rs8102717;rs4808807;rs11668704;rs4808808;rs10416993;rs11670392;rs7256530;rs7249760;rs10409346;rs10409408;rs7251640;rs10410797;rs1469412;rs1469413;rs6512269;rs6512270;rs4580317;rs10418331;rs4808812;rs6512271;rs8112859;rs8112372;rs8106332;rs8106068;rs57923655;rs4808813;rs8104247;rs4006662;rs4303657;rs731945	7
